IZ22CD,IZ22NM,IZ22NM,CA,CAName
S02003225,"Roystonhill, Blochairn, and Provanmill","Roystonhill, Blochairn, and Provanmill",S12000049,Glasgow City
S02003151,Drumoyne and Shieldhall,Drumoyne and Shieldhall,S12000049,Glasgow City
S02003255,Hillhead,Hillhead,S12000049,Glasgow City
S02003231,City Centre East,City Centre East,S12000049,Glasgow City
S02002528,West End South,West End South,S12000033,Aberdeen City
S02002764,Stockbridge,Stockbridge,S12000036,City of Edinburgh
S02003272,Anniesland West,Anniesland West,S12000049,Glasgow City
S02003213,"Cranhill, Lightburn and Queenslie South","Cranhill, Lightburn and Queenslie South",S12000049,Glasgow City
S02003808,Balloch,Balloch,S12000039,West Dunbartonshire
S02003600,Paisley North East,Paisley North East,S12000038,Renfrewshire
S02002541,George Street,George Street,S12000033,Aberdeen City
S02002689,Stenhouse and Saughton Mains,Stenhouse and Saughton Mains,S12000036,City of Edinburgh
S02003650,Selkirk,Selkirk,S12000026,Scottish Borders
S02003595,Paisley South East,Paisley South East,S12000038,Renfrewshire
S02002618,Peterhead Harbour,Peterhead Harbour,S12000034,Aberdeenshire
S02002548,Hilton,Hilton,S12000033,Aberdeen City
S02002526,Rosemount,Rosemount,S12000033,Aberdeen City
S02003240,Firhill,Firhill,S12000049,Glasgow City
S02002782,Clermiston and Drumbrae,Clermiston and Drumbrae,S12000036,City of Edinburgh
S02002753,Hillside and Calton Hill,Hillside and Calton Hill,S12000036,City of Edinburgh
S02003347,Greenock West and Central,Greenock West and Central,S12000018,Inverclyde
S02003838,Bathgate Central,Bathgate Central,S12000040,West Lothian
S02002854,Stobswell,Stobswell,S12000042,Dundee City
S02003798,Dalmuir,Dalmuir,S12000039,West Dunbartonshire
S02002642,Montrose South,Montrose South,S12000041,Angus
S02003185,Gorbals and Hutchesontown,Gorbals and Hutchesontown,S12000049,Glasgow City
S02003273,Blairdardie East,Blairdardie East,S12000049,Glasgow City
S02003489,Dundyvan,Dundyvan,S12000050,North Lanarkshire
S02002878,Ardler and St Marys,Ardler and St Marys,S12000042,Dundee City
S02003254,Kelvingrove and University,Kelvingrove and University,S12000049,Glasgow City
S02002967,"Dunterlie, East Arthurlie and Dovecothall","Dunterlie, East Arthurlie and Dovecothall",S12000011,East Renfrewshire
S02003164,Strathbungo,Strathbungo,S12000049,Glasgow City
S02002849,Logie and Blackness,Logie and Blackness,S12000042,Dundee City
S02003458,Wishaw North,Wishaw North,S12000050,North Lanarkshire
