MSOA21CD,MSOA21NM,LAD23CD,LAD23NM,CAUTH23CD,CAUTH23NM
E02002483,Hartlepool 001,E06000001,Hartlepool,E47000006,Tees Valley
E02002484,Hartlepool 002,E06000001,Hartlepool,E47000006,Tees Valley
E02002485,Hartlepool 003,E06000001,Hartlepool,E47000006,Tees Valley
E02002489,Hartlepool 007,E06000001,Hartlepool,E47000006,Tees Valley
E02002490,Hartlepool 008,E06000001,Hartlepool,E47000006,Tees Valley
E02002491,Hartlepool 009,E06000001,Hartlepool,E47000006,Tees Valley
E02002492,Hartlepool 010,E06000001,Hartlepool,E47000006,Tees Valley
E02002493,Hartlepool 011,E06000001,Hartlepool,E47000006,Tees Valley
E02002494,Hartlepool 012,E06000001,Hartlepool,E47000006,Tees Valley
E02006909,Hartlepool 014,E06000001,Hartlepool,E47000006,Tees Valley
E02007059,Hartlepool 015,E06000001,Hartlepool,E47000006,Tees Valley
E02002496,Middlesbrough 001,E06000002,Middlesbrough,E47000006,Tees Valley
E02002497,Middlesbrough 002,E06000002,Middlesbrough,E47000006,Tees Valley
E02002498,Middlesbrough 003,E06000002,Middlesbrough,E47000006,Tees Valley
E02002499,Middlesbrough 004,E06000002,Middlesbrough,E47000006,Tees Valley
E02002500,Middlesbrough 005,E06000002,Middlesbrough,E47000006,Tees Valley
E02002501,Middlesbrough 006,E06000002,Middlesbrough,E47000006,Tees Valley
E02002502,Middlesbrough 007,E06000002,Middlesbrough,E47000006,Tees Valley
E02002503,Middlesbrough 008,E06000002,Middlesbrough,E47000006,Tees Valley
E02002504,Middlesbrough 009,E06000002,Middlesbrough,E47000006,Tees Valley
E02002505,Middlesbrough 010,E06000002,Middlesbrough,E47000006,Tees Valley
E02002506,Middlesbrough 011,E06000002,Middlesbrough,E47000006,Tees Valley
E02002507,Middlesbrough 012,E06000002,Middlesbrough,E47000006,Tees Valley
E02002508,Middlesbrough 013,E06000002,Middlesbrough,E47000006,Tees Valley
E02002509,Middlesbrough 014,E06000002,Middlesbrough,E47000006,Tees Valley
E02002510,Middlesbrough 015,E06000002,Middlesbrough,E47000006,Tees Valley
E02002512,Middlesbrough 017,E06000002,Middlesbrough,E47000006,Tees Valley
