LAD23CD,LAD23NM,n_fe_colleges_lad,n_gp_surgeries_lad,n_hospitals_lad,n_research_centres_lad,n_schools_lad,n_universities_lad
E06000001,Hartlepool,7,12,2,0,41,1
E06000002,Middlesbrough,11,25,4,0,53,1
E06000003,Redcar and Cleveland,11,13,6,0,61,0
E06000004,Stockton-on-Tees,11,21,3,0,88,1
E06000005,Darlington,9,8,6,0,40,0
E06000006,Halton,6,13,1,30,65,0
E06000007,Warrington,9,31,7,0,91,2
E06000008,Blackburn with Darwen,18,17,3,0,89,0
E06000009,Blackpool,18,21,4,0,53,1
E06000010,"Kingston upon Hull, City of",23,37,6,0,103,2
E06000011,East Riding of Yorkshire,30,50,14,0,160,3
E06000012,North East Lincolnshire,25,33,3,0,71,2
E06000013,North Lincolnshire,17,15,4,0,83,2
E06000014,York,6,53,12,2,72,35
E06000015,Derby,8,54,5,0,108,11
E06000016,Leicester,13,47,13,0,139,13
E06000017,Rutland,0,5,1,0,28,0
E06000018,Nottingham,25,73,10,0,128,11
E06000019,"Herefordshire, County of",34,30,6,0,117,0
E06000020,Telford and Wrekin,8,24,6,0,81,2
E06000021,Stoke-on-Trent,13,23,9,0,105,2
E06000022,Bath and North East Somerset,18,39,6,0,93,5
E06000023,"Bristol, City of",18,139,13,1,186,20
E06000024,North Somerset,7,32,5,0,86,2
E06000025,South Gloucestershire,12,49,3,2,130,2
E06000026,Plymouth,9,47,12,1,102,6
E06000027,Torbay,4,16,3,0,52,0
E06000030,Swindon,14,45,3,1,91,2
E06000031,Peterborough,30,23,1,0,95,2
E06000032,Luton,7,61,2,0,76,2
E06000033,Southend-on-Sea,4,19,2,0,60,2
E06000034,Thurrock,18,23,2,0,62,0
E06000035,Medway,2,40,4,1,129,4
E06000036,Bracknell Forest,7,12,1,2,44,0
E06000037,West Berkshire,6,17,2,0,96,0
E06000038,Reading,8,37,7,0,75,1
E06000039,Slough,2,8,2,0,51,0
E06000040,Windsor and Maidenhead,5,22,4,0,86,1
E06000041,Wokingham,15,19,1,1,80,2
E06000042,Milton Keynes,8,33,9,0,136,4
E06000043,Brighton and Hove,23,37,12,1,99,17
E06000044,Portsmouth,2,25,7,0,72,8
E06000045,Southampton,15,34,7,1,79,10
E06000046,Isle of Wight,9,88,4,0,58,0
E06000047,County Durham,23,78,11,0,273,25
E06000049,Cheshire East,9,41,7,1,175,1
E06000050,Cheshire West and Chester,12,38,8,0,181,7
E06000051,Shropshire,38,60,14,2,184,0
E06000052,Cornwall,91,99,22,3,301,12
E06000053,Isles of Scilly,0,1,1,0,4,0
E06000054,Wiltshire,16,77,9,1,287,0
E06000055,Bedford,4,34,4,0,91,1
E06000056,Central Bedfordshire,5,29,2,0,152,2
E06000057,Northumberland,6,54,15,1,189,1
E06000058,"Bournemouth, Christchurch and Poole",25,67,11,0,135,13
E06000059,Dorset,9,52,17,3,210,0
E06000060,Buckinghamshire,17,66,12,1,293,12
E06000061,North Northamptonshire,6,57,11,0,159,0
E06000062,West Northamptonshire,9,74,10,0,210,9
E06000063,Cumberland,4,35,9,3,180,5
E06000064,Westmorland and Furness,27,55,5,3,168,3
E06000065,North Yorkshire,30,106,16,1,394,1
E06000066,Somerset,33,77,29,1,316,1
E07000008,Cambridge,29,28,8,5,66,92
E07000009,East Cambridgeshire,1,9,1,1,44,1
E07000010,Fenland,2,10,5,0,51,0
E07000011,Huntingdonshire,3,27,3,2,86,0
E07000012,South Cambridgeshire,4,28,7,4,93,7
E07000032,Amber Valley,0,23,2,0,71,0
E07000033,Bolsover,0,10,1,0,41,0
E07000034,Chesterfield,16,14,2,0,51,0
E07000035,Derbyshire Dales,1,17,3,0,71,2
E07000036,Erewash,22,21,1,0,55,0
E07000037,High Peak,1,18,3,0,53,1
E07000038,North East Derbyshire,2,16,1,0,53,0
E07000039,South Derbyshire,1,13,0,0,58,0
E07000040,East Devon,3,21,7,0,74,1
E07000041,Exeter,32,24,10,1,50,8
E07000042,Mid Devon,1,16,5,0,44,0
E07000043,North Devon,3,12,3,0,65,0
E07000044,South Hams,7,10,3,0,56,0
E07000045,Teignbridge,2,16,7,0,69,0
E07000046,Torridge,0,8,3,0,41,0
E07000047,West Devon,0,6,3,0,36,0
E07000061,Eastbourne,14,18,1,0,31,2
