YEAR,GEOGRAPHY_CODE,GEOGRAPHY_NAME,IS8_SECTOR,OBS_Value_Business,OBS_Value_Employment,growth_firms,growth_emp
2016,E02000984,Bolton 001,Advanced manufacturing,0.0,20.0,,
2017,E02000984,Bolton 001,Advanced manufacturing,0.0,20.0,0.0,0.0
2018,E02000984,Bolton 001,Advanced manufacturing,0.0,0.0,0.0,-3.0445225
2019,E02000984,Bolton 001,Advanced manufacturing,0.0,0.0,0.0,0.0
2020,E02000984,Bolton 001,Advanced manufacturing,0.0,20.0,0.0,3.0445225
2021,E02000984,Bolton 001,Advanced manufacturing,0.0,0.0,0.0,-3.0445225
2022,E02000984,Bolton 001,Advanced manufacturing,0.0,0.0,0.0,0.0
2023,E02000984,Bolton 001,Advanced manufacturing,0.0,30.0,0.0,3.4339871
2024,E02000984,Bolton 001,Advanced manufacturing,0.0,40.0,0.0,0.27958488
2016,E02000984,Bolton 001,Creative Industries,25.0,55.0,,
2017,E02000984,Bolton 001,Creative Industries,35.0,80.0,0.32542253,0.3690977
2018,E02000984,Bolton 001,Creative Industries,35.0,50.0,0.0,-0.4626236
2019,E02000984,Bolton 001,Creative Industries,40.0,75.0,0.13005304,0.39890766
2020,E02000984,Bolton 001,Creative Industries,35.0,70.0,-0.13005304,-0.068053246
2021,E02000984,Bolton 001,Creative Industries,35.0,30.0,0.0,-0.8286929
2022,E02000984,Bolton 001,Creative Industries,30.0,65.0,-0.14953184,0.7556677
2023,E02000984,Bolton 001,Creative Industries,25.0,50.0,-0.17589068,-0.2578292
2024,E02000984,Bolton 001,Creative Industries,25.0,60.0,0.0,0.17904806
2016,E02000984,Bolton 001,Defence sector,0.0,0.0,,
2017,E02000984,Bolton 001,Defence sector,0.0,0.0,0.0,0.0
2018,E02000984,Bolton 001,Defence sector,0.0,0.0,0.0,0.0
2019,E02000984,Bolton 001,Defence sector,0.0,0.0,0.0,0.0
2020,E02000984,Bolton 001,Defence sector,0.0,0.0,0.0,0.0
2021,E02000984,Bolton 001,Defence sector,0.0,0.0,0.0,0.0
2022,E02000984,Bolton 001,Defence sector,0.0,0.0,0.0,0.0
2023,E02000984,Bolton 001,Defence sector,0.0,0.0,0.0,0.0
2024,E02000984,Bolton 001,Defence sector,0.0,0.0,0.0,0.0
2016,E02000984,Bolton 001,Digital and Technology,30.0,145.0,,
2017,E02000984,Bolton 001,Digital and Technology,40.0,105.0,0.27958488,-0.32016754
2018,E02000984,Bolton 001,Digital and Technology,40.0,65.0,0.0,-0.47378445
2019,E02000984,Bolton 001,Digital and Technology,35.0,85.0,-0.13005304,0.2646923
2020,E02000984,Bolton 001,Digital and Technology,40.0,85.0,0.13005304,0.0
2021,E02000984,Bolton 001,Digital and Technology,40.0,55.0,0.0,-0.4289956
2022,E02000984,Bolton 001,Digital and Technology,25.0,95.0,-0.45547557,0.5389967
2023,E02000984,Bolton 001,Digital and Technology,20.0,55.0,-0.21357393,-0.5389967
2024,E02000984,Bolton 001,Digital and Technology,25.0,100.0,0.21357393,0.5897689
2016,E02000984,Bolton 001,Financial Services,10.0,100.0,,
2017,E02000984,Bolton 001,Financial Services,15.0,130.0,0.3746934,0.260077
2018,E02000984,Bolton 001,Financial Services,15.0,180.0,0.0,0.3232994
2019,E02000984,Bolton 001,Financial Services,10.0,220.0,-0.3746934,0.19966602
2020,E02000984,Bolton 001,Financial Services,15.0,360.0,0.3746934,0.49071503
2021,E02000984,Bolton 001,Financial Services,30.0,460.0,0.6613984,0.24452019
2022,E02000984,Bolton 001,Financial Services,20.0,510.0,-0.38946462,0.102971554
2023,E02000984,Bolton 001,Financial Services,25.0,425.0,0.21357393,-0.18193007
2024,E02000984,Bolton 001,Financial Services,25.0,270.0,0.0,-0.45232058
2016,E02000984,Bolton 001,Life Sciences,0.0,0.0,,
2017,E02000984,Bolton 001,Life Sciences,0.0,0.0,0.0,0.0
2018,E02000984,Bolton 001,Life Sciences,0.0,0.0,0.0,0.0
2019,E02000984,Bolton 001,Life Sciences,0.0,0.0,0.0,0.0
2020,E02000984,Bolton 001,Life Sciences,0.0,0.0,0.0,0.0
2021,E02000984,Bolton 001,Life Sciences,0.0,0.0,0.0,0.0
2022,E02000984,Bolton 001,Life Sciences,0.0,0.0,0.0,0.0
2023,E02000984,Bolton 001,Life Sciences,0.0,0.0,0.0,0.0
2024,E02000984,Bolton 001,Life Sciences,0.0,10.0,0.0,2.3978953
2016,E02000984,Bolton 001,Professional and Business Services,130.0,550.0,,
2017,E02000984,Bolton 001,Professional and Business Services,145.0,275.0,0.108409405,-0.6913338
2018,E02000984,Bolton 001,Professional and Business Services,145.0,320.0,0.0,0.15104008
2019,E02000984,Bolton 001,Professional and Business Services,120.0,330.0,-0.18781614,0.030677319
2020,E02000984,Bolton 001,Professional and Business Services,125.0,315.0,0.040491104,-0.04637623
2021,E02000984,Bolton 001,Professional and Business Services,130.0,240.0,0.038915634,-0.27094507
2022,E02000984,Bolton 001,Professional and Business Services,130.0,245.0,0.0,0.020534515
2023,E02000984,Bolton 001,Professional and Business Services,115.0,280.0,-0.1216073,0.13302326
2024,E02000984,Bolton 001,Professional and Business Services,120.0,290.0,0.042200565,0.034968376
2016,E02000985,Bolton 002,Advanced manufacturing,0.0,20.0,,
2017,E02000985,Bolton 002,Advanced manufacturing,0.0,30.0,0.0,0.38946462
2018,E02000985,Bolton 002,Advanced manufacturing,0.0,0.0,0.0,-3.4339871
2019,E02000985,Bolton 002,Advanced manufacturing,0.0,0.0,0.0,0.0
2020,E02000985,Bolton 002,Advanced manufacturing,5.0,10.0,1.7917595,2.3978953
2021,E02000985,Bolton 002,Advanced manufacturing,5.0,10.0,0.0,0.0
2022,E02000985,Bolton 002,Advanced manufacturing,5.0,5.0,0.0,-0.60613585
2023,E02000985,Bolton 002,Advanced manufacturing,5.0,0.0,0.0,-1.7917595
2024,E02000985,Bolton 002,Advanced manufacturing,5.0,0.0,0.0,0.0
2016,E02000985,Bolton 002,Creative Industries,40.0,40.0,,
2017,E02000985,Bolton 002,Creative Industries,30.0,50.0,-0.27958488,0.21825361
2018,E02000985,Bolton 002,Creative Industries,30.0,50.0,0.0,0.0
2019,E02000985,Bolton 002,Creative Industries,25.0,50.0,-0.17589068,0.0
2020,E02000985,Bolton 002,Creative Industries,25.0,40.0,0.0,-0.21825361
2021,E02000985,Bolton 002,Creative Industries,25.0,35.0,0.0,-0.13005304
