sic5,description,lookup_code,lookup_digits,IS8_sector,frontier_sector
20110,Manufacture of industrial gases,20,2,Advanced manufacturing,
20120,Manufacture of dyes and pigments,20,2,Advanced manufacturing,
20130,Manufacture of other inorganic basic chemicals,20,2,Advanced manufacturing,
20140,Manufacture of other organic basic chemicals,20,2,Advanced manufacturing,
20150,Manufacture of fertilisers and nitrogen compounds,20,2,Advanced manufacturing,
20160,Manufacture of plastics in primary forms,20,2,Advanced manufacturing,
20170,Manufacture of synthetic rubber in primary forms,20,2,Advanced manufacturing,
20200,Manufacture of pesticides and other agrochemical products,20,2,Advanced manufacturing,
20300,"Manufacture of paints, varnishes and similar coatings, printing ink and mastics",20,2,Advanced manufacturing,
20301,"Manufacture of paints, varnishes and similar coatings, mastics and sealants",20,2,Advanced manufacturing,
20302,Manufacture of printing ink,20,2,Advanced manufacturing,
20410,"Manufacture of soap and detergents, cleaning and polishing preparations",20,2,Advanced manufacturing,
20411,Manufacture of soap and detergents,20,2,Advanced manufacturing,
20412,Manufacture of cleaning and polishing preparations,20,2,Advanced manufacturing,
20420,Manufacture of perfumes and toilet preparations,20,2,Advanced manufacturing,
20510,Manufacture of explosives,20,2,Advanced manufacturing,
20520,Manufacture of glues,20,2,Advanced manufacturing,
20530,Manufacture of essential oils,20,2,Advanced manufacturing,
20590,Manufacture of other chemical products nec,20,2,Advanced manufacturing,
20600,Manufacture of man-made fibres,20,2,Advanced manufacturing,
21100,Manufacture of basic pharmaceutical products,21,2,Life Sciences,
21200,Manufacture of pharmaceutical preparations,21,2,Life Sciences,
25400,Manufacture of weapons and ammunition,254,3,Defence sector,
26110,Manufacture of electronic components,261,3,Digital and Technology,
26120,Manufacture of loaded electronic boards,261,3,Digital and Technology,
26200,Manufacture of computers and peripheral equipment,262,3,Digital and Technology,
26300,Manufacture of communication equipment,263,3,Digital and Technology,
26301,Manufacture of telegraph and telephone apparatus and equipment,263,3,Digital and Technology,
26309,Manufacture of communication equipment (other than telegraph and telephone apparatus and equipment),263,3,Digital and Technology,
26400,Manufacture of consumer electronics,264,3,Digital and Technology,
26510,"Manufacture of instruments and appliances for measuring, testing and navigation",26,2,Advanced manufacturing,
26511,"Manufacture of electronic instruments and appliances for measuring, testing, and navigation, except industrial process control equipment",26511,5,Digital and Technology,
26512,Manufacture of electronic industrial process control equipment,26512,5,Digital and Technology,
26513,"Manufacture of non-electronic instruments and appliances for measuring, testing and navigation, except industrial process control equipment",26513,5,Digital and Technology,
26514,Manufacture of non-electronic industrial process control equipment,26,2,Advanced manufacturing,
26520,Manufacture of watches and clocks,26,2,Advanced manufacturing,
26600,"Manufacture of irradiation, electromedical and electrotherapeutic equipment",266,3,Life Sciences,
26700,Manufacture of optical instruments and photographic equipment,26,2,Advanced manufacturing,
26701,Manufacture of optical precision instruments,26701,5,Digital and Technology,
26702,Manufacture of photographic and cinematographic equipment,26,2,Advanced manufacturing,
26800,Manufacture of magnetic and optical media,268,3,Digital and Technology,
27110,"Manufacture of electric motors, generators and transformers",27,2,Advanced manufacturing,
27120,Manufacture of electricity distribution and control apparatus,27,2,Advanced manufacturing,
27200,Manufacture of batteries and accumulators,272,3,Advanced manufacturing,Batteries
27310,Manufacture of fibre optic cables,2731,4,Digital and Technology,
27320,Manufacture of other electronic and electric wires and cables,2732,4,Digital and Technology,
27330,Manufacture of wiring devices,27,2,Advanced manufacturing,
27400,Manufacture of electric lighting equipment,27,2,Advanced manufacturing,
27510,Manufacture of electric domestic appliances,27,2,Advanced manufacturing,
27520,Manufacture of non-electric domestic appliances,27,2,Advanced manufacturing,
27900,Manufacture of other electrical equipment,279,3,Digital and Technology,
28110,"Manufacture of engines and turbines, except aircraft, vehicle and cycle engines",28,2,Advanced manufacturing,
28120,Manufacture of fluid power equipment,28,2,Advanced manufacturing,
28130,Manufacture of other pumps and compressors,28,2,Advanced manufacturing,
28131,Manufacture of pumps,28,2,Advanced manufacturing,
28132,Manufacture of compressors,28,2,Advanced manufacturing,
28140,Manufacture of other taps and valves,28,2,Advanced manufacturing,
28150,"Manufacture of bearings, gears, gearing and driving elements",28,2,Advanced manufacturing,
28210,"Manufacture of ovens, furnaces and furnace burners",28,2,Advanced manufacturing,
28220,Manufacture of lifting and handling equipment,28,2,Advanced manufacturing,
28230,Manufacture of office machinery and equipment (except computers and peripheral equipment),28,2,Advanced manufacturing,
28240,Manufacture of power-driven hand tools,28,2,Advanced manufacturing,
28250,Manufacture of non-domestic cooling and ventilation equipment,28,2,Advanced manufacturing,
28290,Manufacture of other general-purpose machinery nec,28,2,Advanced manufacturing,
28300,Manufacture of agricultural and forestry machinery,283,3,Advanced manufacturing,Agritech
28301,Manufacture of agricultural tractors,283,3,Advanced manufacturing,Agritech
28302,Manufacture of agricultural and forestry machinery (other than agricultural tractors),283,3,Advanced manufacturing,Agritech
28410,Manufacture of metal forming machinery,28,2,Advanced manufacturing,
28490,Manufacture of other machine tools,28,2,Advanced manufacturing,
28910,Manufacture of machinery for metallurgy,28,2,Advanced manufacturing,
28920,"Manufacture of machinery for mining, quarrying and construction",28,2,Advanced manufacturing,
28921,Manufacture of machinery for mining,28,2,Advanced manufacturing,
