sic5,sic5_desc,sic4,sic3,sic2,IS8_sector,IS8_source_level,IS8_source_code,frontier_sector
20110,Manufacture of industrial gases,2011,201,20,Advanced manufacturing,sic2,20,
20120,Manufacture of dyes and pigments,2012,201,20,Advanced manufacturing,sic2,20,
20130,Manufacture of other inorganic basic chemicals,2013,201,20,Advanced manufacturing,sic2,20,
20140,Manufacture of other organic basic chemicals,2014,201,20,Advanced manufacturing,sic2,20,
20150,Manufacture of fertilisers and nitrogen compounds,2015,201,20,Advanced manufacturing,sic2,20,
20160,Manufacture of plastics in primary forms,2016,201,20,Advanced manufacturing,sic2,20,
20170,Manufacture of synthetic rubber in primary forms,2017,201,20,Advanced manufacturing,sic2,20,
20200,Manufacture of pesticides and other agrochemical products,2020,202,20,Advanced manufacturing,sic2,20,
20300,"Manufacture of paints, varnishes and similar coatings, printing ink and mastics",2030,203,20,Advanced manufacturing,sic2,20,
20301,"Manufacture of paints, varnishes and similar coatings, mastics and sealants",2030,203,20,Advanced manufacturing,sic2,20,
20302,Manufacture of printing ink,2030,203,20,Advanced manufacturing,sic2,20,
20410,"Manufacture of soap and detergents, cleaning and polishing preparations",2041,204,20,Advanced manufacturing,sic2,20,
20411,Manufacture of soap and detergents,2041,204,20,Advanced manufacturing,sic2,20,
20412,Manufacture of cleaning and polishing preparations,2041,204,20,Advanced manufacturing,sic2,20,
20420,Manufacture of perfumes and toilet preparations,2042,204,20,Advanced manufacturing,sic2,20,
20510,Manufacture of explosives,2051,205,20,Advanced manufacturing,sic2,20,
20520,Manufacture of glues,2052,205,20,Advanced manufacturing,sic2,20,
20530,Manufacture of essential oils,2053,205,20,Advanced manufacturing,sic2,20,
20590,Manufacture of other chemical products nec,2059,205,20,Advanced manufacturing,sic2,20,
20600,Manufacture of man-made fibres,2060,206,20,Advanced manufacturing,sic2,20,
21100,Manufacture of basic pharmaceutical products,2110,211,21,Life Sciences,sic2,21,
21200,Manufacture of pharmaceutical preparations,2120,212,21,Life Sciences,sic2,21,
25400,Manufacture of weapons and ammunition,2540,254,25,Defence sector,sic3,254,
26110,Manufacture of electronic components,2611,261,26,Advanced manufacturing,sic2,26,
26110,Manufacture of electronic components,2611,261,26,Digital and Technology,sic3,261,
26120,Manufacture of loaded electronic boards,2612,261,26,Advanced manufacturing,sic2,26,
26120,Manufacture of loaded electronic boards,2612,261,26,Digital and Technology,sic3,261,
26200,Manufacture of computers and peripheral equipment,2620,262,26,Advanced manufacturing,sic2,26,
26200,Manufacture of computers and peripheral equipment,2620,262,26,Digital and Technology,sic3,262,
26300,Manufacture of communication equipment,2630,263,26,Advanced manufacturing,sic2,26,
26300,Manufacture of communication equipment,2630,263,26,Digital and Technology,sic3,263,
