parquet_code,digits,div_2digit,div_desc,grp_3digit,grp_desc,cls_4digit,cls_desc,leaf_5digit,leaf_desc,IS8_sector,frontier_sector
20,2,20,Manufacture of chemicals and chemical products,201,"Manufacture of basic chemicals, fertilisers and nitrogen compounds, plastics and synthetic rubber in primary forms",2011,,20110,Manufacture of industrial gases,Advanced manufacturing,
21,2,21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,211,Manufacture of basic pharmaceutical products,2110,,21100,Manufacture of basic pharmaceutical products,Life Sciences,
26,2,26,"Manufacture of computer, electronic and optical products",261,Manufacture of electronic components and boards,2611,,26110,Manufacture of electronic components,Advanced manufacturing,
27,2,27,Manufacture of electrical equipment,271,"Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus",2711,,27110,"Manufacture of electric motors, generators and transformers",Advanced manufacturing,
28,2,28,Manufacture of machinery and equipment nec,281,Manufacture of general purpose machinery,2811,,28110,"Manufacture of engines and turbines, except aircraft, vehicle and cycle engines",Advanced manufacturing,
29,2,29,"Manufacture of motor vehicles, trailers and semi-trailers",291,Manufacture of motor vehicles,2910,,29100,Manufacture of motor vehicles,Advanced manufacturing,Automotive manufacturing
30,2,30,Manufacture of other transport equipment,301,Building of ships and boats,3011,,30110,Building of ships and floating structures,Advanced manufacturing,
58,2,58,Publishing activities,581,"Publishing of books, periodicals and other publishing activities",5811,,58110,Book publishing,Digital and Technology,
59,2,59,"Motion picture, video and television programme production, sound recording and music publishing activities",591,"Motion picture, video and television programme activities",5911,,59110,"Motion picture, video and television programme production activities",Digital and Technology,
60,2,60,Programming and broadcasting activities,601,Radio broadcasting,6010,,60100,Radio broadcasting,Digital and Technology,
61,2,61,Telecommunications,611,Wired telecommunications activities,6110,,61100,Wired telecommunications activities,Digital and Technology,
62,2,62,"Computer programming, consultancy and related activities",620,"Computer programming, consultancy and related activities",6201,,62010,Computer programming activities,Digital and Technology,
63,2,63,Information service activities,631,"Data processing, hosting and related activities; web portals",6311,,63110,"Data processing, hosting and related activities",Digital and Technology,
64,2,64,"Financial service activities, except insurance and pension funding",641,Monetary intermediation,6411,,64110,Central banking,Financial Services,
65,2,65,"Insurance, reinsurance and pension funding, except compulsory social security",651,Insurance,6511,,65110,Life insurance,Financial Services,
66,2,66,Activities auxiliary to financial services and insurance activities,661,"Activities auxiliary to financial services, except insurance and pension funding",6611,,66110,Administration of financial markets,Financial Services,Asset management and wholesale services
69,2,69,Legal and accounting activities,691,Legal activities,6910,,69100,Legal activities,Professional and Business Services,
70,2,70,Activities of head offices; management consultancy activities,701,Activities of head offices,7010,,70100,Activities of head offices,Professional and Business Services,
71,2,71,Architectural and engineering activities; technical testing and analysis,711,Architectural and engineering activities and related technical consultancy,7111,,71110,Architectural activities,Professional and Business Services,
72,2,72,Scientific research and development,721,Research and experimental development on natural sciences and engineering,7211,,72110,Research and experimental development on biotechnology,Professional and Business Services,
73,2,73,Advertising and market research,731,Advertising,7311,,73110,Advertising agencies,Professional and Business Services,
74,2,74,"Other professional, scientific and technical activities",741,Specialised design activities,7410,,74100,Specialised design activities,Professional and Business Services,
77,2,77,Rental and leasing activities,771,Renting and leasing of motor vehicles,7711,,77110,Renting and leasing of cars and light motor vehicles,Professional and Business Services,
78,2,78,Employment activities,781,Activities of employment placement agencies,7810,,78100,Activities of employment placement agencies,Professional and Business Services,
82,2,82,"Office administrative, office support and other business support activities",821,Office administrative and support activities,8211,,82110,Combined office administrative service activities,Professional and Business Services,
90,2,90,"Creative, arts and entertainment activities",900,"Creative, arts and entertainment activities",9001,,90010,Performing arts,Creative Industries,"Music, peforming, and visual arts"
254,3,25,"Manufacture of fabricated metal products, except machinery and equipment",254,Manufacture of weapons and ammunition,2540,,25400,Manufacture of weapons and ammunition,Defence sector,
261,3,26,"Manufacture of computer, electronic and optical products",261,Manufacture of electronic components and boards,2611,,26110,Manufacture of electronic components,Digital and Technology,
262,3,26,"Manufacture of computer, electronic and optical products",262,Manufacture of computers and peripheral equipment,2620,,26200,Manufacture of computers and peripheral equipment,Digital and Technology,
263,3,26,"Manufacture of computer, electronic and optical products",263,Manufacture of communication equipment,2630,,26300,Manufacture of communication equipment,Digital and Technology,
264,3,26,"Manufacture of computer, electronic and optical products",264,Manufacture of consumer electronics,2640,,26400,Manufacture of consumer electronics,Digital and Technology,
266,3,26,"Manufacture of computer, electronic and optical products",266,"Manufacture of irradiation, electromedical and electrotherapeutic equipment",2660,,26600,"Manufacture of irradiation, electromedical and electrotherapeutic equipment",Life Sciences,
