parquet_code,IS8_sector,n_sic5
20,Advanced manufacturing,20
21,Life Sciences,2
254,Defence sector,1
261,Advanced manufacturing,2
261,Digital and Technology,2
262,Advanced manufacturing,1
262,Digital and Technology,1
263,Advanced manufacturing,3
263,Digital and Technology,3
264,Advanced manufacturing,1
264,Digital and Technology,1
26511,Advanced manufacturing,1
26511,Digital and Technology,1
26512,Advanced manufacturing,1
26512,Digital and Technology,1
26513,Advanced manufacturing,1
26513,Digital and Technology,1
266,Advanced manufacturing,1
266,Life Sciences,1
26701,Advanced manufacturing,1
26701,Digital and Technology,1
268,Advanced manufacturing,1
268,Digital and Technology,1
272,Advanced manufacturing,1
2731,Advanced manufacturing,1
2731,Digital and Technology,1
2732,Advanced manufacturing,1
2732,Digital and Technology,1
279,Advanced manufacturing,1
279,Digital and Technology,1
283,Advanced manufacturing,3
29,Advanced manufacturing,7
303,Advanced manufacturing,1
304,Advanced manufacturing,1
304,Defence sector,1
3212,Creative Industries,1
325,Life Sciences,1
3316,Advanced manufacturing,1
465,Digital and Technology,2
5821,Creative Industries,1
5821,Digital and Technology,1
591,Creative Industries,10
591,Digital and Technology,10
592,Creative Industries,1
592,Digital and Technology,1
602,Creative Industries,1
602,Digital and Technology,1
61,Digital and Technology,4
62011,Creative Industries,1
62011,Digital and Technology,1
6202,Creative Industries,1
6202,Digital and Technology,1
63,Digital and Technology,4
64191,Financial Services,1
642,Financial Services,7
64301,Financial Services,1
6499,Financial Services,4
6512,Financial Services,1
65202,Financial Services,1
6611,Financial Services,1
6612,Financial Services,1
6621,Financial Services,1
6622,Financial Services,1
663,Financial Services,1
691,Professional and Business Services,4
692,Professional and Business Services,4
7021,Creative Industries,1
7021,Professional and Business Services,1
7111,Creative Industries,3
7111,Professional and Business Services,3
7112,Digital and Technology,4
7112,Professional and Business Services,4
712,Digital and Technology,1
712,Professional and Business Services,1
7211,Digital and Technology,1
7211,Life Sciences,1
7211,Professional and Business Services,1
731,Creative Industries,2
731,Professional and Business Services,2
741,Creative Industries,1
741,Professional and Business Services,1
742,Creative Industries,5
742,Professional and Business Services,5
743,Creative Industries,1
743,Professional and Business Services,1
77,Professional and Business Services,18
78,Professional and Business Services,5
82,Professional and Business Services,11
8552,Creative Industries,1
90,Creative Industries,4
9101,Creative Industries,3
9102,Creative Industries,1
951,Digital and Technology,2
