ProviderName,UKPRN,INSTID,CampusName,CampusCountry,CampusPostcode,CampusLatitude,CampusLongitude
AA School of Architecture,10008071,0323,Hooke Park,England,DT8 3PH,50.790481,-2.673988
AA School of Architecture,10008071,0323,Main campus,England,WC1B 3ES,51.518218,-0.130697
Abertay University,10007849,0095,Entire HEP,Scotland,DD1 1HG,56.463117,-2.974299
Aberystwyth University,10007856,0177,Canolfan Iaith Ceredigion,Wales,SA48 8AF,52.195879,-4.170098
Aberystwyth University,10007856,0177,Canolfan Iaith Clwyd,Wales,SA44 6AE,52.16253,-4.447756
Aberystwyth University,10007856,0177,Coleg Harlech,Wales,LL46 2PU,52.855901,-4.112967
Aberystwyth University,10007856,0177,Coleg Meirion Dwyfor,Wales,LL40 2SW,52.744734,-3.897765
Aberystwyth University,10007856,0177,Entire HEP,Wales,SY23 3BY,52.417956,-4.064916
ABI College Limited,10019746,0231,Main campus,England,RG1 4SJ,51.451368,-0.967864
Abingdon and Witney College,10000055,1183,Main campus,England,OX14 1GG,51.680624,-1.28696
Academy of Live and Recorded Arts,10000248,0269,ALRA North,England,WN3 4BF,53.542304,-2.637992
Academy of Live and Recorded Arts,10000248,0269,ALRA South,England,SW18 3SX,51.4533,-0.174557
Academy of Live and Recorded Arts,10000248,0269,Main campus,England,SW18 3SX,51.4533,-0.174557
Access to Music Limited,10000080,0268,Main campus,England,B9 4AR,52.476431,-1.88286
Accrington and Rossendale College,10000093,1182,Main campus,England,BB5 2AW,53.748697,-2.35286
ACM Guildford Limited,10067853,0357,Birmingham Campus,England,B3 1AG,52.484594,-1.902924
ACM Guildford Limited,10067853,0357,London Campus,England,SW4 0BG,51.462486,-0.138834
ACM Guildford Limited,10067853,0357,Main campus,England,GU1 4SB,51.236455,-0.578092
Activate Learning,10004927,1181,Main campus,England,OX1 1SA,51.749548,-1.264524
AECC University College,10000163,0213,Entire HEP,England,BH5 2DF,50.727261,-1.828772
AECC University College,10000163,0213,Norwegian Chiropractors' Office for Information an,Norway,,50.727261,-1.828772
All Nations Christian College,10000216,0285,Entire HEP,England,SG12 8LX,51.80252,0.000933
Amity Global Education,10032036,0353,Entire HEP,England,WC1E 7HX,51.521891,-0.130359
Anglia Ruskin University,10000291,0047,Cambridge,England,CB1 1PT,52.203402,0.13461
Anglia Ruskin University,10000291,0047,Cambridge campus,England,CB1 1PT,52.203402,0.13461
Anglia Ruskin University,10000291,0047,Harlow,England,CM20 3LH,51.770467,0.099149
Anglia Ruskin University,10000291,0047,London,England,EC1N 6SA,51.518542,-0.105909
Anglia Ruskin University,10000291,0047,Main campus,England,CM1 1SQ,51.741381,0.474495
Anglia Ruskin University,10000291,0047,Peterborough,England,PE1 4DZ,52.586783,-0.230191
Anglia Ruskin University,10000291,0047,Peterborough Guild House,England,PE2 9PW,52.565311,-0.252362
Anglia Ruskin University,10000291,0047,West Anglia,England,PE30 2QW,52.756352,0.410694
Apex College,10041898,0329,Entire HEP,England,SE17 1JE,51.48871,-0.096354
Applied Business Academy Limited,10062759,0432,Entire HEP,England,E14 9RH,51.49744,-0.014275
Arden University,10005451,0333,Berlin,Germany,,52.373008,-1.466384
Arden University,10005451,0333,Birmingham,England,B5 4UA,52.476224,-1.898516
Arden University,10005451,0333,Ealing,England,W5 5SA,51.512203,-0.309004
Arden University,10005451,0333,Holborn,England,EC1N 2LX,51.517609,-0.109519
Arden University,10005451,0333,Islamabad,Pakistan,,52.373008,-1.466384
Arden University,10005451,0333,Lahore,Pakistan,,52.373008,-1.466384
Arden University,10005451,0333,Leeds,England,LS1 5HD,53.797928,-1.54673
Arden University,10005451,0333,Main campus,England,CV3 4FJ,52.373008,-1.466384
Arden University,10005451,0333,Manchester,England,M1 4LF,53.476179,-2.240634
Arden University,10005451,0333,Tower Hill,England,EC3N 4DX,51.509939,-0.073608
Arts Educational Schools,10000381,0244,Entire HEP,England,W4 1LY,51.49596,-0.252435
Arts University Plymouth,10005127,0230,Entire HEP,England,PL4 8AT,50.37341,-4.137411
