sector,dep_var,R2_mean_full,R2_mean_theory,RMSE_mean_full,RMSE_mean_theory,R2_winner
Advanced Manufacturing,gd_bus,0.0619,0.0379,0.0326,0.033,full
Advanced Manufacturing,gd_emp,-0.04,-0.0339,0.0516,0.0515,theory
Advanced Manufacturing,lq_bus,0.5214,0.2954,0.2977,0.3611,full
Advanced Manufacturing,lq_emp,0.3858,0.0777,0.9572,1.2023,full
Creative Industries,gd_bus,0.1079,0.059,0.0157,0.0162,full
Creative Industries,gd_emp,0.0516,0.0524,0.0341,0.0341,theory
Creative Industries,lq_bus,0.757,0.7516,0.2366,0.2396,full
Creative Industries,lq_emp,0.6341,0.5366,0.3858,0.4342,full
Defence,gd_emp,-0.5431,-0.5042,0.0706,0.07,theory
Defence,lq_bus,-0.2215,-0.2102,0.7454,0.7527,theory
Defence,lq_emp,-3.0207,-4.1873,6.5715,6.7851,full
Digital and Technologies,gd_bus,0.0564,0.0798,0.018,0.0177,theory
Digital and Technologies,gd_emp,0.0672,0.0452,0.0294,0.0296,full
Digital and Technologies,lq_bus,0.6281,0.5665,0.2083,0.225,full
Digital and Technologies,lq_emp,0.5068,0.2865,0.3919,0.4734,full
Financial Services,gd_bus,0.1258,0.0081,0.0279,0.0298,full
Financial Services,gd_emp,-0.0646,-0.0696,0.0507,0.0508,full
Financial Services,lq_bus,0.157,0.012,0.4605,0.4798,full
Financial Services,lq_emp,0.0917,-0.1165,0.6465,0.7112,full
Life Sciences,gd_bus,0.194,0.0065,0.0673,0.0752,full
Life Sciences,gd_emp,-0.0238,-0.0313,0.1399,0.14,full
Life Sciences,lq_bus,0.2203,0.0504,0.7864,0.8571,full
Life Sciences,lq_emp,0.0134,-0.0642,1.6503,1.7034,full
Professional and Business Services,gd_bus,0.0284,0.0019,0.0176,0.0178,full
Professional and Business Services,gd_emp,0.004,-0.0016,0.0337,0.0339,full
Professional and Business Services,lq_bus,0.6327,0.5835,0.1611,0.1713,full
Professional and Business Services,lq_emp,0.4115,0.3318,0.2957,0.3158,full
