max_depth,sector,R2_mean,R2_std
2,Advanced Manufacturing,0.4194,0.0583
2,Creative Industries,0.6767,0.0466
2,Defence,-0.2097,0.3843
2,Digital and Technologies,0.4895,0.0151
2,Financial Services,-0.0242,0.2602
2,Life Sciences,0.1464,0.2422
2,Professional and Business Services,0.4922,0.0901
3,Advanced Manufacturing,0.4237,0.0758
3,Creative Industries,0.7431,0.0253
3,Defence,-0.2177,0.3983
3,Digital and Technologies,0.5655,0.0236
3,Financial Services,0.0044,0.2465
3,Life Sciences,0.128,0.2443
3,Professional and Business Services,0.5675,0.1133
4,Advanced Manufacturing,0.4368,0.0884
4,Creative Industries,0.7662,0.028
4,Defence,-0.2177,0.3983
4,Digital and Technologies,0.6052,0.0236
4,Financial Services,0.017,0.2402
4,Life Sciences,0.1178,0.2418
4,Professional and Business Services,0.6086,0.1299
5,Advanced Manufacturing,0.4424,0.098
5,Creative Industries,0.7743,0.0318
5,Defence,-0.2177,0.3983
5,Digital and Technologies,0.6243,0.026
5,Financial Services,0.025,0.2385
5,Life Sciences,0.1157,0.2388
5,Professional and Business Services,0.6249,0.1274
6,Advanced Manufacturing,0.4451,0.1022
6,Creative Industries,0.7771,0.0324
6,Defence,-0.2177,0.3983
6,Digital and Technologies,0.6283,0.0273
6,Financial Services,0.0314,0.2407
6,Life Sciences,0.1101,0.237
6,Professional and Business Services,0.6289,0.1265
None,Advanced Manufacturing,0.4451,0.1067
None,Creative Industries,0.7771,0.0326
None,Defence,-0.2177,0.3983
None,Digital and Technologies,0.6304,0.0282
None,Financial Services,0.0323,0.2429
None,Life Sciences,0.1034,0.2351
None,Professional and Business Services,0.6307,0.1266
