sector,dep_var,n,R2_mean,R2_std,RMSE_mean,RMSE_std
Advanced Manufacturing,lq_emp,296,0.3858,0.1305,0.9572,0.2579
Advanced Manufacturing,lq_bus,296,0.5214,0.0586,0.2977,0.0159
Advanced Manufacturing,gd_emp,295,-0.04,0.1322,0.0516,0.0066
Advanced Manufacturing,gd_bus,295,0.0619,0.1482,0.0326,0.006
Creative Industries,lq_emp,296,0.6341,0.0856,0.3858,0.0627
Creative Industries,lq_bus,296,0.757,0.0387,0.2366,0.0218
Creative Industries,gd_emp,296,0.0516,0.0623,0.0341,0.0039
Creative Industries,gd_bus,295,0.1079,0.1102,0.0157,0.0022
Defence,lq_emp,296,-3.0207,4.0023,6.5715,4.6294
Defence,lq_bus,296,-0.2215,0.3922,0.7454,0.5411
Defence,gd_emp,46,-0.5431,0.6128,0.0706,0.011
Digital and Technologies,lq_emp,296,0.5068,0.0574,0.3919,0.0619
Digital and Technologies,lq_bus,296,0.6281,0.0726,0.2083,0.0189
Digital and Technologies,gd_emp,295,0.0672,0.0165,0.0294,0.0042
Digital and Technologies,gd_bus,295,0.0564,0.0587,0.018,0.0024
Financial Services,lq_emp,296,0.0917,0.2098,0.6465,0.3997
Financial Services,lq_bus,296,0.157,0.1289,0.4605,0.2248
Financial Services,gd_emp,295,-0.0646,0.0336,0.0507,0.0062
Financial Services,gd_bus,295,0.1258,0.0777,0.0279,0.0047
Life Sciences,lq_emp,296,0.0134,0.0615,1.6503,0.2676
Life Sciences,lq_bus,296,0.2203,0.2239,0.7864,0.3279
Life Sciences,gd_emp,280,-0.0238,0.0829,0.1399,0.0493
Life Sciences,gd_bus,235,0.194,0.0932,0.0673,0.0065
Professional and Business Services,lq_emp,296,0.4115,0.1177,0.2957,0.075
Professional and Business Services,lq_bus,296,0.6327,0.1481,0.1611,0.0501
Professional and Business Services,gd_emp,296,0.004,0.0485,0.0337,0.0078
Professional and Business Services,gd_bus,296,0.0284,0.074,0.0176,0.0049
Advanced Manufacturing,lq_emp,296,0.1682,0.0676,1.1469,0.3637
Advanced Manufacturing,lq_bus,296,0.4368,0.0884,0.3227,0.0254
Advanced Manufacturing,gd_emp,295,-0.0447,0.1172,0.0518,0.0068
Advanced Manufacturing,gd_bus,295,0.0142,0.1566,0.0334,0.0059
Creative Industries,lq_emp,296,0.557,0.0959,0.4251,0.0685
Creative Industries,lq_bus,296,0.7662,0.028,0.2329,0.023
Creative Industries,gd_emp,296,0.0304,0.0645,0.0345,0.0035
Creative Industries,gd_bus,295,0.0522,0.0719,0.0163,0.0025
Defence,lq_emp,296,-5.7961,10.6637,6.4952,4.6904
Defence,lq_bus,296,-0.2177,0.3983,0.7537,0.5268
Defence,gd_emp,46,-0.4986,0.6411,0.07,0.0131
Digital and Technologies,lq_emp,296,0.4397,0.0757,0.4183,0.0725
Digital and Technologies,lq_bus,296,0.6052,0.0236,0.2161,0.0174
Digital and Technologies,gd_emp,295,0.0598,0.0298,0.0295,0.004
Digital and Technologies,gd_bus,295,0.1023,0.0801,0.0175,0.0024
Financial Services,lq_emp,296,-0.0746,0.1837,0.6885,0.3915
Financial Services,lq_bus,296,0.017,0.2402,0.481,0.1979
Financial Services,gd_emp,295,-0.0496,0.0848,0.0504,0.0073
Financial Services,gd_bus,295,-0.0008,0.0341,0.0298,0.0044
Life Sciences,lq_emp,296,-0.0058,0.0824,1.6672,0.2785
Life Sciences,lq_bus,296,0.1178,0.2418,0.825,0.3051
Life Sciences,gd_emp,280,-0.0421,0.1387,0.1406,0.0495
Life Sciences,gd_bus,235,-0.0448,0.084,0.077,0.0092
Professional and Business Services,lq_emp,296,0.3479,0.1003,0.3115,0.0764
Professional and Business Services,lq_bus,296,0.6086,0.1299,0.1671,0.0478
Professional and Business Services,gd_emp,296,-0.0144,0.0215,0.0341,0.008
Professional and Business Services,gd_bus,296,-0.0216,0.0422,0.0179,0.0047
