sector,model_type,dep_var,metric,metric_value,quality,feature,importance,group,definition
Advanced Manufacturing,Regression,lq_emp,R2,0.3882,✅ Recommended,apprenticeship_achievements,0.2582,Human Capital,Number of apprenticeships successfully completed in the area.
Advanced Manufacturing,Regression,lq_emp,R2,0.3882,✅ Recommended,housing_net_additions,0.2071,Place Conditions,Net annual additions to the local housing stock (new builds minus demolitions/conversions).
Advanced Manufacturing,Regression,lq_emp,R2,0.3882,✅ Recommended,apprenticeship_starts,0.1461,Human Capital,Number of apprenticeship starts in the area per period.
Advanced Manufacturing,Regression,lq_emp,R2,0.3882,✅ Recommended,fe_participation,0.0935,Human Capital,Rate of participation in Further Education and skills programmes among working-age adults.
Advanced Manufacturing,Regression,lq_emp,R2,0.3882,✅ Recommended,gcse_age19,0.0745,Human Capital,Share of young people achieving a standard pass (grade 4+) in English and Maths GCSEs by age 19.
Advanced Manufacturing,Regression,lq_bus,R2,0.5246,✅ Recommended,apprenticeship_starts,0.3319,Human Capital,Number of apprenticeship starts in the area per period.
Advanced Manufacturing,Regression,lq_bus,R2,0.5246,✅ Recommended,related_variety,0.2805,Derived Variables,Degree to which a LAD's industrial mix contains sectors that are technologically or capability-adjacent to IS8 sectors.
Advanced Manufacturing,Regression,lq_bus,R2,0.5246,✅ Recommended,apprenticeship_achievements,0.208,Human Capital,Number of apprenticeships successfully completed in the area.
Advanced Manufacturing,Classification,lq_emp_binary,F1,0.7283,✅ Recommended,apprenticeship_achievements,0.2582,Human Capital,Number of apprenticeships successfully completed in the area.
Advanced Manufacturing,Classification,lq_emp_binary,F1,0.7283,✅ Recommended,housing_net_additions,0.2071,Place Conditions,Net annual additions to the local housing stock (new builds minus demolitions/conversions).
Advanced Manufacturing,Classification,lq_emp_binary,F1,0.7283,✅ Recommended,apprenticeship_starts,0.1461,Human Capital,Number of apprenticeship starts in the area per period.
Advanced Manufacturing,Classification,lq_emp_binary,F1,0.7283,✅ Recommended,fe_participation,0.0935,Human Capital,Rate of participation in Further Education and skills programmes among working-age adults.
Advanced Manufacturing,Classification,lq_emp_binary,F1,0.7283,✅ Recommended,gcse_age19,0.0745,Human Capital,Share of young people achieving a standard pass (grade 4+) in English and Maths GCSEs by age 19.
Advanced Manufacturing,Classification,lq_bus_binary,F1,0.7791,✅ Recommended,apprenticeship_starts,0.3319,Human Capital,Number of apprenticeship starts in the area per period.
Advanced Manufacturing,Classification,lq_bus_binary,F1,0.7791,✅ Recommended,related_variety,0.2805,Derived Variables,Degree to which a LAD's industrial mix contains sectors that are technologically or capability-adjacent to IS8 sectors.
Advanced Manufacturing,Classification,lq_bus_binary,F1,0.7791,✅ Recommended,apprenticeship_achievements,0.208,Human Capital,Number of apprenticeships successfully completed in the area.
Advanced Manufacturing,Classification,gd_emp_binary,F1,0.5109,⚠️ Marginal,apprenticeship_achievements,0.1647,Human Capital,Number of apprenticeships successfully completed in the area.
Advanced Manufacturing,Classification,gd_emp_binary,F1,0.5109,⚠️ Marginal,nvq_level3,0.1459,Human Capital,Share of working-age residents holding qualifications at NVQ Level 3 or above (A-level equivalent or higher).
Advanced Manufacturing,Classification,gd_emp_binary,F1,0.5109,⚠️ Marginal,fe_participation,0.1347,Human Capital,Rate of participation in Further Education and skills programmes among working-age adults.
Advanced Manufacturing,Classification,gd_emp_binary,F1,0.5109,⚠️ Marginal,apprenticeship_starts,0.1201,Human Capital,Number of apprenticeship starts in the area per period.
Advanced Manufacturing,Classification,gd_emp_binary,F1,0.5109,⚠️ Marginal,gcse_age19,0.0855,Human Capital,Share of young people achieving a standard pass (grade 4+) in English and Maths GCSEs by age 19.
Advanced Manufacturing,Classification,gd_bus_binary,F1,0.6111,⚠️ Marginal,apprenticeship_achievements,0.2061,Human Capital,Number of apprenticeships successfully completed in the area.
Advanced Manufacturing,Classification,gd_bus_binary,F1,0.6111,⚠️ Marginal,fe_participation,0.1321,Human Capital,Rate of participation in Further Education and skills programmes among working-age adults.
Advanced Manufacturing,Classification,gd_bus_binary,F1,0.6111,⚠️ Marginal,related_variety,0.1129,Derived Variables,Degree to which a LAD's industrial mix contains sectors that are technologically or capability-adjacent to IS8 sectors.
Advanced Manufacturing,Classification,gd_bus_binary,F1,0.6111,⚠️ Marginal,apprenticeship_starts,0.1127,Human Capital,Number of apprenticeship starts in the area per period.
Advanced Manufacturing,Classification,gd_bus_binary,F1,0.6111,⚠️ Marginal,n_universities_feecap_lad,0.0903,—,—
Creative Industries,Regression,lq_emp,R2,0.6381,✅ Recommended,apprenticeship_achievements,0.3333,Human Capital,Number of apprenticeships successfully completed in the area.
Creative Industries,Regression,lq_emp,R2,0.6381,✅ Recommended,apprenticeship_starts,0.2716,Human Capital,Number of apprenticeship starts in the area per period.
Creative Industries,Regression,lq_emp,R2,0.6381,✅ Recommended,nvq_level3,0.2027,Human Capital,Share of working-age residents holding qualifications at NVQ Level 3 or above (A-level equivalent or higher).
Creative Industries,Regression,lq_bus,R2,0.7581,✅ Recommended,apprenticeship_starts,0.4412,Human Capital,Number of apprenticeship starts in the area per period.
Creative Industries,Regression,lq_bus,R2,0.7581,✅ Recommended,apprenticeship_achievements,0.3072,Human Capital,Number of apprenticeships successfully completed in the area.
Creative Industries,Regression,lq_bus,R2,0.7581,✅ Recommended,nvq_level3,0.1264,Human Capital,Share of working-age residents holding qualifications at NVQ Level 3 or above (A-level equivalent or higher).
Creative Industries,Classification,lq_emp_binary,F1,0.5784,⚠️ Marginal,apprenticeship_achievements,0.3333,Human Capital,Number of apprenticeships successfully completed in the area.
Creative Industries,Classification,lq_emp_binary,F1,0.5784,⚠️ Marginal,apprenticeship_starts,0.2716,Human Capital,Number of apprenticeship starts in the area per period.
Creative Industries,Classification,lq_emp_binary,F1,0.5784,⚠️ Marginal,nvq_level3,0.2027,Human Capital,Share of working-age residents holding qualifications at NVQ Level 3 or above (A-level equivalent or higher).
Creative Industries,Classification,lq_bus_binary,F1,0.8053,✅ Recommended,apprenticeship_starts,0.4412,Human Capital,Number of apprenticeship starts in the area per period.
