group,sector,dep_var,model_type,n,R2_mean,R2_std,RMSE_mean,RMSE_std,F1_mean,F1_std,Acc_mean,Acc_std
full,Advanced Manufacturing,lq_emp,regression,350,0.2354,0.1575,1.1393,0.3169,,,,
full,Advanced Manufacturing,lq_bus,regression,350,0.4266,0.0617,0.3391,0.036,,,,
full,Advanced Manufacturing,cagr_emp,regression,350,-0.0788,0.028,0.0753,0.0344,,,,
full,Advanced Manufacturing,cagr_bus,regression,349,0.0937,0.1263,0.0407,0.008,,,,
full,Advanced Manufacturing,lq_emp_binary,classification,350,,,,,0.6549,0.0513,0.6857,0.0433
full,Advanced Manufacturing,lq_bus_binary,classification,350,,,,,0.7536,0.0622,0.7714,0.0619
full,Advanced Manufacturing,cagr_emp_binary,classification,350,,,,,0.5142,0.0597,0.5057,0.0576
full,Advanced Manufacturing,cagr_bus_binary,classification,349,,,,,0.6914,0.026,0.6102,0.0243
full,Creative Industries,lq_emp,regression,350,0.6433,0.1605,0.3856,0.1365,,,,
full,Creative Industries,lq_bus,regression,350,0.747,0.0681,0.2388,0.0253,,,,
full,Creative Industries,cagr_emp,regression,350,-0.0117,0.0675,0.0402,0.0047,,,,
full,Creative Industries,cagr_bus,regression,349,0.0875,0.0465,0.0177,0.0027,,,,
full,Creative Industries,lq_emp_binary,classification,350,,,,,0.5617,0.1418,0.8686,0.0343
full,Creative Industries,lq_bus_binary,classification,350,,,,,0.7997,0.0259,0.9057,0.0114
full,Creative Industries,cagr_emp_binary,classification,350,,,,,0.5703,0.0505,0.5771,0.042
full,Creative Industries,cagr_bus_binary,classification,349,,,,,0.573,0.0404,0.5761,0.0244
full,Defence,lq_emp,regression,350,-30.5146,60.4552,8.0919,4.5281,,,,
full,Defence,lq_bus,regression,350,-0.0019,0.0032,0.6295,0.4775,,,,
full,Defence,cagr_emp,regression,71,-0.2438,0.1806,0.4813,0.0291,,,,
full,Defence,lq_emp_binary,classification,350,,,,,0.0,0.0,0.9086,0.007
full,Defence,lq_bus_binary,classification,350,,,,,0.0,0.0,0.9886,0.0057
full,Defence,cagr_emp_binary,classification,71,,,,,0.7378,0.0706,0.6352,0.0863
full,Digital and Technologies,lq_emp,regression,350,0.5264,0.0996,0.3837,0.1062,,,,
full,Digital and Technologies,lq_bus,regression,350,0.5769,0.0802,0.2282,0.0251,,,,
full,Digital and Technologies,cagr_emp,regression,350,-0.0048,0.0677,0.0536,0.0363,,,,
full,Digital and Technologies,cagr_bus,regression,349,0.1455,0.1174,0.018,0.0025,,,,
full,Digital and Technologies,lq_emp_binary,classification,350,,,,,0.6395,0.0846,0.8371,0.0345
full,Digital and Technologies,lq_bus_binary,classification,350,,,,,0.7824,0.0827,0.8771,0.041
full,Digital and Technologies,cagr_emp_binary,classification,350,,,,,0.5313,0.0583,0.5486,0.0531
full,Digital and Technologies,cagr_bus_binary,classification,349,,,,,0.6053,0.0461,0.6246,0.0385
full,Financial Services,lq_emp,regression,350,0.0632,0.4763,0.673,0.2618,,,,
full,Financial Services,lq_bus,regression,350,0.0731,0.122,0.4634,0.2173,,,,
full,Financial Services,cagr_emp,regression,349,-0.0631,0.0795,0.0583,0.0087,,,,
full,Financial Services,cagr_bus,regression,349,0.0913,0.0567,0.0312,0.0059,,,,
full,Financial Services,lq_emp_binary,classification,350,,,,,0.345,0.1267,0.8629,0.0232
full,Financial Services,lq_bus_binary,classification,350,,,,,0.139,0.0047,0.8229,0.007
full,Financial Services,cagr_emp_binary,classification,349,,,,,0.54,0.0309,0.533,0.018
full,Financial Services,cagr_bus_binary,classification,349,,,,,0.7032,0.04,0.6906,0.0416
full,Life Sciences,lq_emp,regression,350,-0.019,0.0932,1.6831,0.2217,,,,
full,Life Sciences,lq_bus,regression,350,0.2576,0.2099,0.7189,0.2968,,,,
full,Life Sciences,cagr_emp,regression,338,-0.0176,0.0864,0.3539,0.1105,,,,
full,Life Sciences,cagr_bus,regression,291,0.1313,0.1687,0.3381,0.0382,,,,
full,Life Sciences,lq_emp_binary,classification,350,,,,,0.0563,0.046,0.7171,0.0107
full,Life Sciences,lq_bus_binary,classification,350,,,,,0.4848,0.1241,0.84,0.0229
full,Life Sciences,cagr_emp_binary,classification,338,,,,,0.5343,0.0383,0.5416,0.0366
