model,feature,corr_shap,direction
LQ — Regression,nvq_level3,0.888,Positive ↑
LQ — Regression,gcse_age19,0.844,Positive ↑
LQ — Regression,enterprise_high_growth_rate,0.798,Positive ↑
LQ — Regression,n_universities_feecap_lad,0.779,Positive ↑
LQ — Regression,broadband,0.769,Positive ↑
LQ — Regression,enterprise_death_rate,0.446,Positive ↑
LQ — Regression,unemployment_rate,0.327,Positive ↑
LQ — Regression,housing_net_additions,-0.131,Negative ↓
LQ — Regression,enterprise_birth_rate,-0.304,Negative ↓
LQ — Regression,fe_participation,-0.399,Negative ↓
LQ — Regression,apprenticeship_starts,-0.606,Negative ↓
LQ — Regression,transport_to_employer,-0.79,Negative ↓
LQ — Classification,nvq_level3,0.899,Positive ↑
LQ — Classification,broadband,0.884,Positive ↑
LQ — Classification,gcse_age19,0.845,Positive ↑
LQ — Classification,enterprise_high_growth_rate,0.813,Positive ↑
LQ — Classification,n_universities_feecap_lad,0.803,Positive ↑
LQ — Classification,housing_net_additions,0.789,Positive ↑
LQ — Classification,enterprise_death_rate,0.131,Positive ↑
LQ — Classification,fe_participation,-0.694,Negative ↓
LQ — Classification,unemployment_rate,-0.738,Negative ↓
LQ — Classification,apprenticeship_starts,-0.773,Negative ↓
LQ — Classification,transport_to_employer,-0.814,Negative ↓
LQ — Classification,enterprise_birth_rate,-0.847,Negative ↓
Growth — Classification,housing_net_additions,0.846,Positive ↑
Growth — Classification,n_universities_feecap_lad,0.805,Positive ↑
Growth — Classification,enterprise_high_growth_rate,0.771,Positive ↑
Growth — Classification,unemployment_rate,0.715,Positive ↑
Growth — Classification,enterprise_birth_rate,0.427,Positive ↑
Growth — Classification,transport_to_employer,0.394,Positive ↑
Growth — Classification,fe_participation,0.304,Positive ↑
Growth — Classification,apprenticeship_starts,0.293,Positive ↑
Growth — Classification,nvq_level3,-0.602,Negative ↓
Growth — Classification,enterprise_death_rate,-0.648,Negative ↓
Growth — Classification,broadband,-0.808,Negative ↓
Growth — Classification,gcse_age19,-0.821,Negative ↓
