spec,sector,outcome,outcome_label,n,lasso_lambda,lasso_n_vars,lasso_cv_r2,lasso_cv_r2_std,lasso_cv_rmse,lasso_cv_mae,lasso_r2_train,enet_lambda,enet_l1_ratio,enet_n_vars,enet_cv_r2,enet_cv_r2_std,enet_cv_rmse,enet_cv_mae,enet_r2_train,best_model,best_cv_r2
FULL_31,Advanced Manufacturing,lq_emp,Presence — Employment LQ,239,0.015199,16,0.151,0.207,0.74,0.483,0.49,0.015999,1.0,15,0.15,0.194,0.742,0.485,0.489,LASSO,0.151
FULL_31,Advanced Manufacturing,lq_bus,Presence — Business LQ,239,0.017475,16,0.388,0.06,0.763,0.573,0.497,0.11514,0.1,23,0.386,0.056,0.764,0.574,0.489,LASSO,0.388
FULL_31,Advanced Manufacturing,growth_emp,Growth — Employment,239,0.09326,3,-0.04,0.014,0.977,0.696,0.013,0.086851,1.0,3,-0.042,0.015,0.977,0.7,0.016,LASSO,-0.04
FULL_31,Advanced Manufacturing,growth_bus,Growth — Business,239,0.081113,3,0.054,0.104,0.937,0.702,0.162,0.086851,0.9,4,0.05,0.1,0.94,0.702,0.163,LASSO,0.054
FULL_31,Advanced Manufacturing,cagr_emp,CAGR — Employment,239,0.061359,8,-0.023,0.018,0.992,0.717,0.046,0.471487,0.1,12,-0.031,0.019,0.995,0.724,0.048,LASSO,-0.023
FULL_31,Advanced Manufacturing,cagr_bus,CAGR — Business,239,0.070548,7,0.082,0.113,0.931,0.709,0.207,0.086851,0.9,6,0.069,0.101,0.938,0.715,0.2,LASSO,0.082
FULL_31,Creative Industries,lq_emp,Presence — Employment LQ,239,0.008697,25,0.558,0.183,0.598,0.453,0.736,0.152642,0.1,27,0.587,0.168,0.578,0.437,0.716,ElasticNet,0.587
FULL_31,Creative Industries,lq_bus,Presence — Business LQ,239,0.003765,29,0.654,0.109,0.553,0.407,0.793,0.065513,0.1,28,0.66,0.111,0.547,0.4,0.777,ElasticNet,0.66
FULL_31,Creative Industries,growth_emp,Growth — Employment,239,100.0,0,-0.06,0.037,1.008,0.792,0.0,0.26827,0.1,18,-0.054,0.033,1.006,0.79,0.113,ElasticNet,-0.054
FULL_31,Creative Industries,growth_bus,Growth — Business,239,0.061359,6,0.037,0.06,0.957,0.701,0.122,0.065513,0.9,6,0.046,0.05,0.95,0.695,0.123,ElasticNet,0.046
FULL_31,Creative Industries,cagr_emp,CAGR — Employment,239,100.0,0,-0.053,0.039,1.004,0.79,0.0,0.26827,0.1,20,-0.047,0.038,1.001,0.788,0.12,ElasticNet,-0.047
FULL_31,Creative Industries,cagr_bus,CAGR — Business,239,0.053367,6,0.039,0.06,0.966,0.728,0.137,0.065513,0.9,6,0.054,0.052,0.957,0.722,0.133,ElasticNet,0.054
FULL_31,Digital and Technologies,lq_emp,Presence — Employment LQ,239,0.023101,17,0.57,0.091,0.615,0.425,0.685,0.049417,0.5,18,0.591,0.065,0.604,0.411,0.683,ElasticNet,0.591
FULL_31,Digital and Technologies,lq_bus,Presence — Business LQ,239,0.003765,28,0.586,0.17,0.593,0.441,0.761,0.003907,1.0,28,0.591,0.156,0.591,0.437,0.761,ElasticNet,0.591
FULL_31,Digital and Technologies,growth_emp,Growth — Employment,239,0.04037,15,0.006,0.122,0.975,0.759,0.205,0.26827,0.1,20,0.057,0.057,0.954,0.742,0.202,ElasticNet,0.057
FULL_31,Digital and Technologies,growth_bus,Growth — Business,239,0.030539,17,0.085,0.054,0.942,0.733,0.215,0.202359,0.1,20,0.082,0.054,0.944,0.735,0.212,LASSO,0.085
FULL_31,Digital and Technologies,cagr_emp,CAGR — Employment,239,0.04037,18,0.016,0.119,0.973,0.778,0.209,0.26827,0.1,21,0.021,0.122,0.969,0.776,0.207,ElasticNet,0.021
FULL_31,Digital and Technologies,cagr_bus,CAGR — Business,239,0.030539,17,0.093,0.051,0.939,0.729,0.221,0.202359,0.1,20,0.089,0.05,0.941,0.731,0.218,LASSO,0.093
FULL_31,Financial Services,lq_emp,Presence — Employment LQ,239,0.070548,9,0.22,0.203,0.853,0.627,0.291,0.355648,0.1,19,0.214,0.205,0.857,0.628,0.29,LASSO,0.22
FULL_31,Financial Services,lq_bus,Presence — Business LQ,239,0.035112,14,0.15,0.182,0.878,0.58,0.335,0.049417,0.7,15,0.149,0.193,0.877,0.576,0.333,LASSO,0.15
