variable,coef,se,t,p_value,ci_low,ci_high,stars,sector,outcome,n,r2
active_enterprises,-3.896955259370396e-05,1.3387406204974478e-05,-2.9109113443665957,0.0036037625589635356,-6.520838660186199e-05,-1.273071858554594e-05,***,Advanced Manufacturing,lq_emp,268,0.502
broadband_availability,0.0017863515039572547,0.005249436814564983,0.340293933817982,0.7336351849803662,-0.008502355591708779,0.012075058599623288,,Advanced Manufacturing,lq_emp,268,0.502
4g_area_coverage,-0.08450446646903652,0.044879646412528146,-1.8829129287758184,0.05971216882303961,-0.1724669570764839,0.003458024138410884,*,Advanced Manufacturing,lq_emp,268,0.502
early_years_literacy,0.051421051081507026,0.035138841410702934,1.463367857821422,0.14336674883466616,-0.017449812541935346,0.1202919147049494,,Advanced Manufacturing,lq_emp,268,0.502
apprenticeship_achievements,0.0012874873604084677,0.00047167071824513577,2.7296317337624876,0.00634051109348827,0.00036302974008586223,0.002211944980731073,***,Advanced Manufacturing,lq_emp,268,0.502
smokers,-0.030917706240386943,0.020130627576445723,-1.5358540672901264,0.12457417570861978,-0.0703730112764094,0.00853759879563551,,Advanced Manufacturing,lq_emp,268,0.502
reception_obesity,0.0020810553735142595,0.04750198435714432,0.04380986187582852,0.9650559659931183,-0.09102112316067364,0.09518323390770216,,Advanced Manufacturing,lq_emp,268,0.502
year_6_obesity,0.018922950458634513,0.02699079153501335,0.7010891264188023,0.483247395774386,-0.03397802886422022,0.07182392978148924,,Advanced Manufacturing,lq_emp,268,0.502
under_75_mortality_rate,0.013332466003279917,0.014012726157191362,0.951454117758354,0.34137389940825136,-0.014131972590037503,0.040796904596597336,,Advanced Manufacturing,lq_emp,268,0.502
life_satisfaction,0.3449748597695816,0.22380805029681117,1.5413871811674364,0.12322258199587957,-0.09368085826229727,0.7836305778014605,,Advanced Manufacturing,lq_emp,268,0.502
net_additions,0.03483644664301535,0.01652251695563613,2.108422508299016,0.034994459192317064,0.0024529084760161537,0.06721998481001454,**,Advanced Manufacturing,lq_emp,268,0.502
related_variety,0.5096497570871643,0.22712493125089328,2.243918156761841,0.024837667697038077,0.06449307184427766,0.954806442330051,**,Advanced Manufacturing,lq_emp,268,0.502
size_large_share,30.429239879427552,3.4535926211196806,8.810894398298247,1.241512808721516e-18,23.660322724759695,37.19815703409541,***,Advanced Manufacturing,lq_emp,268,0.502
size_micro_share,-1.8319456658568947,0.6968671280943907,-2.628830650781906,0.00856790165370412,-3.197780138931761,-0.4661111927820285,***,Advanced Manufacturing,lq_emp,268,0.502
drive_to_employer,-0.049794135845671494,0.08365963772427794,-0.5951990374352445,0.5517104336432027,-0.2137640127449247,0.11417574105358172,,Advanced Manufacturing,lq_emp,268,0.502
active_enterprises,-1.713960035932815e-05,5.307694971490414e-06,-3.2291984470455177,0.0012413772151332193,-2.754249134437371e-05,-6.736709374282588e-06,***,Advanced Manufacturing,lq_bus,239,0.505
4g_area_coverage,0.007227700073382519,0.016595675704625588,0.43551707095409176,0.6631871506898248,-0.025299226606790015,0.03975462675355505,,Advanced Manufacturing,lq_bus,239,0.505
early_years_literacy,-0.004834460581058901,0.01046305954143342,-0.46205037464563536,0.6440451962487848,-0.025341680450366576,0.015672759288248773,,Advanced Manufacturing,lq_bus,239,0.505
apprenticeship_starts,4.96875072080266e-05,0.0002801780346437374,0.17734262170554216,0.859239274054059,-0.0004994513499529142,0.0005988263643689675,,Advanced Manufacturing,lq_bus,239,0.505
apprenticeship_achievements,0.0008517481056059068,0.0005367463065587367,1.5868727836559395,0.11254146014777301,-0.00020025532408411218,0.0019037515352959256,,Advanced Manufacturing,lq_bus,239,0.505
level_3+_qualifications,-0.007269709846805532,0.0037752915749610537,-1.9256022223609384,0.05415406102057305,-0.014669145364866694,0.00012972567125563075,*,Advanced Manufacturing,lq_bus,239,0.505
fe_and_skills_participation,-5.816120693083888e-05,2.4401620834437962e-05,-2.383497691626946,0.01714899202100928,-0.00010598750493073951,-1.0334908930938252e-05,**,Advanced Manufacturing,lq_bus,239,0.505
reception_obesity,-0.01558481697007192,0.0199821364893033,-0.7799374695701171,0.43542768210909955,-0.054749084823270025,0.023579450883126185,,Advanced Manufacturing,lq_bus,239,0.505
cancer_diagnosis,-0.009364286262348488,0.007626380048815332,-1.2278808822021816,0.21949168716658451,-0.024311716490441358,0.0055831439657443825,,Advanced Manufacturing,lq_bus,239,0.505
worthwhile,0.19124625792948005,0.10956912224711403,1.7454393537821495,0.08090842042816926,-0.023505275492529842,0.40599779135148995,*,Advanced Manufacturing,lq_bus,239,0.505
happiness,-0.19454944227309445,0.11745660461657512,-1.6563516620302527,0.09765062400296744,-0.42476015706794273,0.03566127252175383,*,Advanced Manufacturing,lq_bus,239,0.505
net_additions,0.0027089952283509446,0.004492024635678441,0.6030677585413106,0.5464636139197718,-0.006095211275245458,0.011513201731947347,,Advanced Manufacturing,lq_bus,239,0.505
related_variety,0.7101890204602838,0.09273527737280582,7.65824010646183,1.8849823013929883e-14,0.5284312167132521,0.8919468242073154,***,Advanced Manufacturing,lq_bus,239,0.505
size_large_share,-2.026839397530864,0.5626168923951782,-3.602521404755878,0.0003151454409712823,-3.1295482437192605,-0.9241305513424678,***,Advanced Manufacturing,lq_bus,239,0.505
size_micro_share,-1.6154845538070546,0.18399920870636916,-8.779845115448772,1.6369993182496326e-18,-1.9761163760554068,-1.2548527315587024,***,Advanced Manufacturing,lq_bus,239,0.505
drive_to_employer,-0.029235988038829475,0.028148681005965952,-1.0386272817768292,0.29897811258066864,-0.08440638902282945,0.02593441294517049,,Advanced Manufacturing,lq_bus,239,0.505
early_years_literacy,0.004858057212082271,0.006324743142867757,0.7681034790417649,0.4424257101760226,-0.007538211559405204,0.017254325983569747,,Advanced Manufacturing,growth_emp,283,0.021
anxiety,0.0921520055517477,0.037605056118960305,2.4505216867708666,0.014264936922384428,0.018447449921977915,0.16585656118151748,**,Advanced Manufacturing,growth_emp,283,0.021
related_variety,0.09481721283997141,0.08131261654629272,1.166082421981714,0.24358112291278555,-0.064552587079478,0.2541870127594208,,Advanced Manufacturing,growth_emp,283,0.021
year_6_obesity,0.008479774152943164,0.0036041608145906995,2.35277352736719,0.018633979289646437,0.0014157487618548497,0.015543799544031478,**,Advanced Manufacturing,growth_bus,281,0.151
happiness,-0.18452300856155887,0.0697843112190856,-2.6441904396283977,0.008188657015962447,-0.3212977452369011,-0.047748271886216664,***,Advanced Manufacturing,growth_bus,281,0.151
related_variety,0.2733954443532914,0.049804172406643185,5.4894084399407514,4.032820990700678e-08,0.17578106015644718,0.3710098285501356,***,Advanced Manufacturing,growth_bus,281,0.151
deaths_of_enterprises,-5.345614001261492e-06,4.812946180768779e-06,-1.1106739615375523,0.266708714084009,-1.4778815175097905e-05,4.0875871725749195e-06,,Advanced Manufacturing,cagr_emp,268,0.072
early_years_literacy,0.0009155633443786246,0.00124668589082558,0.7343977750260096,0.4627063424536437,-0.0015278961016737462,0.003359022790430995,,Advanced Manufacturing,cagr_emp,268,0.072
apprenticeship_starts,1.8568495910760775e-05,1.199693945523445e-05,1.5477694106940796,0.12167782373143385,-4.94507334620632e-06,4.208206516772787e-05,,Advanced Manufacturing,cagr_emp,268,0.072
smokers,-0.0014218126228341824,0.0010062884763368846,-1.412927461924138,0.15767705351348593,-0.0033941017945121627,0.0005504765488437979,,Advanced Manufacturing,cagr_emp,268,0.072
reception_obesity,0.004857428950728574,0.002842990732751831,1.7085630616976712,0.08753191581849044,-0.0007147304938461526,0.0104295883953033,*,Advanced Manufacturing,cagr_emp,268,0.072
anxiety,0.02101105134006534,0.006773038747315752,3.102160215515127,0.0019211395242321684,0.0077361393294321824,0.0342859633506985,***,Advanced Manufacturing,cagr_emp,268,0.072
related_variety,0.020213319178480044,0.018266612697073192,1.1065718375754892,0.2684790889632457,-0.015588583827325475,0.05601522218428556,,Advanced Manufacturing,cagr_emp,268,0.072
cycle_to_employer,0.0024061319746299494,0.0016397500678699934,1.4673772679000237,0.14227345483215192,-0.0008077191020423469,0.005619983051302246,,Advanced Manufacturing,cagr_emp,268,0.072
apprenticeship_achievements,-3.807697101760841e-05,1.694887139398793e-05,-2.24657855573292,0.024666973927756495,-7.129614852842593e-05,-4.857793506790885e-06,**,Advanced Manufacturing,cagr_bus,281,0.215
reception_obesity,0.0003228958538475162,0.0020088585788051025,0.16073598074762396,0.8723013493410247,-0.003614394610644803,0.004260186318339835,,Advanced Manufacturing,cagr_bus,281,0.215
year_6_obesity,0.0013658715660961114,0.0008328187013532414,1.640058711309816,0.10099296015174566,-0.0002664230942076608,0.0029981662263998837,,Advanced Manufacturing,cagr_bus,281,0.215
happiness,-0.027056264583438877,0.00990554312413002,-2.7314266612528795,0.006306077433653613,-0.04647077235404208,-0.00764175681283567,***,Advanced Manufacturing,cagr_bus,281,0.215
related_variety,0.05345220286645569,0.009098272301813442,5.874983853341227,4.2288456493878795e-09,0.035619916833363005,0.07128448889954837,***,Advanced Manufacturing,cagr_bus,281,0.215
size_micro_share,0.0004193470246395936,0.018923193356520814,0.022160478770095603,0.9823199432149922,-0.03666943042662882,0.03750812447590801,,Advanced Manufacturing,cagr_bus,281,0.215
new_enterprises,-0.00011720033311283936,4.9605013647473326e-05,-2.3626711192087146,0.01814376298258102,-0.00021442437331450494,-1.9976292911173777e-05,**,Creative Industries,lq_emp,239,0.738
high_growth_enterprises,0.0045515816930948045,0.001847421831411772,2.463747919237565,0.013749277203159195,0.0009307014392747038,0.008172461946914905,**,Creative Industries,lq_emp,239,0.738
broadband_availability,0.0013908080160996536,0.0014083680350273986,0.9875316547301477,0.3233820726430714,-0.001369542609531493,0.004151158641730801,,Creative Industries,lq_emp,239,0.738
4g_area_coverage,0.019879471734285347,0.013723081610391655,1.4486157190256619,0.14744492892917674,-0.007017273978986223,0.04677621744755692,,Creative Industries,lq_emp,239,0.738
gcse_by_age_19,0.008374700314502548,0.005383769634302487,1.555545813317022,0.11981613245093252,-0.002177294269790705,0.018926694898795803,,Creative Industries,lq_emp,239,0.738
early_years_comms,0.009961740574221518,0.013742583525346703,0.7248812099885127,0.4685249091338761,-0.01697322818999151,0.036896709338434544,,Creative Industries,lq_emp,239,0.738
early_years_literacy,0.0018660272105174517,0.015530702855634354,0.12015085394802201,0.9043636485135417,-0.02857359104111925,0.032305645462154156,,Creative Industries,lq_emp,239,0.738
early_years_maths,0.012488475643644659,0.018976024680471718,0.6581186446546197,0.5104618961647274,-0.024703849299823097,0.04968080058711241,,Creative Industries,lq_emp,239,0.738
apprenticeship_starts,-0.00046656213077963935,0.00022235521384975982,-2.09827385066349,0.035880961104516204,-0.0009023703416998704,-3.075391985940827e-05,**,Creative Industries,lq_emp,239,0.738
apprenticeship_achievements,-8.689663440880147e-05,0.00040553184513285025,-0.21427820145748247,0.8303301159721976,-0.0008817244454532628,0.0007079311766356598,,Creative Industries,lq_emp,239,0.738
level_3+_qualifications,0.0055335261023159305,0.0033588799523030176,1.6474319359112153,0.09946929563564372,-0.001049757632591599,0.01211680983722346,*,Creative Industries,lq_emp,239,0.738
fe_and_skills_participation,5.473722284402378e-05,2.3702476674570517e-05,2.3093461327081175,0.020924381616735273,8.281222217464858e-06,0.0001011932234705827,**,Creative Industries,lq_emp,239,0.738
smokers,0.011856928205894103,0.005714492371807124,2.07488739759128,0.03799697196868589,0.000656728967223269,0.023057127444564937,**,Creative Industries,lq_emp,239,0.738
year_6_obesity,-0.01815067244582081,0.009761265750693922,-1.859458896970456,0.06296212017791175,-0.03728240176070523,0.0009810568690636103,*,Creative Industries,lq_emp,239,0.738
adult_obesity,-0.00796481751606088,0.005001954888706195,-1.5923409333507723,0.1113081202391253,-0.017768468950219076,0.001838833918097315,,Creative Industries,lq_emp,239,0.738
cancer_diagnosis,0.0038468837440592193,0.006617586678309343,0.5813121808692379,0.5610300725483339,-0.009123347809999141,0.01681711529811758,,Creative Industries,lq_emp,239,0.738
under_75_mortality_rate,-0.00620216129596953,0.004691492087590068,-1.3220018663945916,0.18616752942084525,-0.015397316821400695,0.002992994229461636,,Creative Industries,lq_emp,239,0.738
worthwhile,-0.2702076643157521,0.1338364134266679,-2.0189398191233296,0.043493474896637505,-0.5325222144520341,-0.007893114179470084,**,Creative Industries,lq_emp,239,0.738
happiness,0.10785010174022042,0.08246739462099234,1.3077908212801332,0.19094426830036282,-0.05378302161577675,0.2694832250962176,,Creative Industries,lq_emp,239,0.738
net_additions,0.001528719050236928,0.003711344399532965,0.41190438980260136,0.6804095031161609,-0.005745382307072116,0.008802820407545972,,Creative Industries,lq_emp,239,0.738
related_variety,-0.24194216862452264,0.13955470599996264,-1.7336725901926044,0.08297619255006995,-0.5154643662575252,0.03158002900847992,*,Creative Industries,lq_emp,239,0.738
size_large_share,163.74164680879835,23.516534412925335,6.962830659214881,3.3350262093984754e-12,117.65008631826791,209.8332072993288,***,Creative Industries,lq_emp,239,0.738
size_micro_share,-1.625986122936001,0.6974853196454068,-2.3312119655258594,0.019742185513307035,-2.993032229186406,-0.2589400166855962,**,Creative Industries,lq_emp,239,0.738
cycle_to_employer,-0.03347073520932943,0.011240976961603434,-2.977564612369342,0.0029054839629600224,-0.05550264520511665,-0.011438825213542215,***,Creative Industries,lq_emp,239,0.738
new_enterprises,-0.00026724054756477756,9.564907057722259e-05,-2.793969099250369,0.005206545354231923,-0.0004547092810508636,-7.977181407869152e-05,***,Creative Industries,lq_bus,239,0.792
