spec,sector,outcome,outcome_label,n,lasso_lambda,lasso_n_vars,lasso_cv_r2,lasso_cv_r2_std,lasso_cv_rmse,lasso_cv_mae,lasso_r2_train,enet_lambda,enet_l1_ratio,enet_n_vars,enet_cv_r2,enet_cv_r2_std,enet_cv_rmse,enet_cv_mae,enet_r2_train,best_model,best_cv_r2
SHORT_13,Advanced Manufacturing,lq_emp,Presence — Employment LQ,290,0.070548,6,-0.067,0.247,0.884,0.543,0.181,0.471487,0.1,9,0.009,0.163,0.865,0.535,0.175,ElasticNet,0.009
SHORT_13,Advanced Manufacturing,lq_bus,Presence — Business LQ,290,0.011498,11,0.351,0.071,0.796,0.597,0.399,0.012068,0.9,11,0.349,0.07,0.798,0.599,0.399,LASSO,0.351
SHORT_13,Advanced Manufacturing,cagr_emp,CAGR — Employment,290,100.0,0,-0.028,0.036,0.997,0.696,0.0,100.0,0.1,0,-0.028,0.036,0.997,0.696,0.0,LASSO,-0.028
SHORT_13,Advanced Manufacturing,cagr_bus,CAGR — Business,290,0.030539,7,-0.057,0.258,0.987,0.72,0.149,0.028118,1.0,7,-0.03,0.238,0.974,0.712,0.15,ElasticNet,-0.03
SHORT_13,Creative Industries,lq_emp,Presence — Employment LQ,290,0.061359,6,0.269,0.355,0.796,0.466,0.497,0.26827,0.1,8,0.286,0.331,0.787,0.46,0.497,ElasticNet,0.286
SHORT_13,Creative Industries,lq_bus,Presence — Business LQ,290,0.035112,9,0.597,0.091,0.619,0.432,0.683,0.152642,0.1,10,0.604,0.092,0.612,0.432,0.684,ElasticNet,0.604
SHORT_13,Creative Industries,cagr_emp,CAGR — Employment,290,100.0,0,-0.1,0.155,1.043,0.807,0.0,100.0,0.1,0,-0.094,0.155,1.04,0.805,0.0,ElasticNet,-0.094
SHORT_13,Creative Industries,cagr_bus,CAGR — Business,290,0.053367,5,0.023,0.058,0.967,0.73,0.125,0.065513,0.95,5,0.03,0.048,0.964,0.723,0.119,ElasticNet,0.03
SHORT_13,Digital and Technologies,lq_emp,Presence — Employment LQ,290,0.035112,9,0.285,0.189,0.841,0.557,0.392,0.152642,0.1,13,0.283,0.191,0.842,0.559,0.385,LASSO,0.285
SHORT_13,Digital and Technologies,lq_bus,Presence — Business LQ,290,0.046416,8,0.495,0.162,0.695,0.514,0.607,0.202359,0.1,10,0.494,0.178,0.693,0.511,0.607,LASSO,0.495
SHORT_13,Digital and Technologies,cagr_emp,CAGR — Employment,290,0.0001,13,0.011,0.087,0.985,0.772,0.173,0.355648,0.1,7,0.002,0.085,0.99,0.777,0.098,LASSO,0.011
SHORT_13,Digital and Technologies,cagr_bus,CAGR — Business,290,0.000266,13,-0.016,0.073,0.976,0.737,0.236,0.26827,0.1,10,-0.006,0.079,0.97,0.733,0.182,ElasticNet,-0.006
SHORT_13,Financial Services,lq_emp,Presence — Employment LQ,290,0.09326,3,0.007,0.054,0.902,0.562,0.099,0.471487,0.1,10,0.017,0.065,0.899,0.558,0.102,ElasticNet,0.017
SHORT_13,Financial Services,lq_bus,Presence — Business LQ,290,0.01,10,0.229,0.189,0.85,0.575,0.374,0.015999,0.5,10,0.234,0.181,0.848,0.572,0.375,ElasticNet,0.234
SHORT_13,Financial Services,cagr_emp,CAGR — Employment,290,100.0,0,-0.031,0.029,0.998,0.751,0.0,100.0,0.1,0,-0.036,0.03,1.0,0.751,0.0,LASSO,-0.031
SHORT_13,Financial Services,cagr_bus,CAGR — Business,290,0.107227,1,-0.033,0.094,0.987,0.698,0.04,0.11514,1.0,1,-0.025,0.075,0.984,0.697,0.038,ElasticNet,-0.025
SHORT_13,Life Sciences,lq_emp,Presence — Employment LQ,290,0.017475,10,0.024,0.029,0.974,0.606,0.103,0.086851,0.1,11,0.028,0.031,0.972,0.604,0.105,ElasticNet,0.028
SHORT_13,Life Sciences,lq_bus,Presence — Business LQ,290,0.017475,9,0.226,0.039,0.831,0.459,0.276,0.086851,0.1,12,0.233,0.052,0.828,0.454,0.276,ElasticNet,0.233
SHORT_13,Life Sciences,cagr_emp,CAGR — Employment,284,0.061359,5,-0.038,0.032,0.904,0.473,0.023,0.471487,0.1,5,-0.038,0.032,0.903,0.473,0.024,LASSO,-0.038
SHORT_13,Life Sciences,cagr_bus,CAGR — Business,252,0.035112,6,0.138,0.037,0.919,0.651,0.196,0.037276,0.95,6,0.135,0.033,0.921,0.648,0.195,LASSO,0.138
SHORT_13,Professional and Business Services,lq_emp,Presence — Employment LQ,290,0.026561,10,0.344,0.055,0.791,0.534,0.445,0.11514,0.1,11,0.332,0.044,0.797,0.536,0.44,LASSO,0.344
SHORT_13,Professional and Business Services,lq_bus,Presence — Business LQ,290,0.030539,9,0.705,0.056,0.534,0.397,0.774,0.152642,0.1,10,0.713,0.06,0.527,0.393,0.771,ElasticNet,0.713
SHORT_13,Professional and Business Services,cagr_emp,CAGR — Employment,290,0.053367,3,-0.03,0.043,0.986,0.725,0.03,0.049417,1.0,4,-0.027,0.045,0.985,0.724,0.031,ElasticNet,-0.027
SHORT_13,Professional and Business Services,cagr_bus,CAGR — Business,290,0.081113,2,0.007,0.048,0.917,0.531,0.031,0.086851,0.9,2,0.008,0.051,0.917,0.531,0.032,ElasticNet,0.008
