spec,sector,outcome,n,r2,r2_adj,n_sig,n_vars
SHORT_13,Advanced Manufacturing,lq_emp,291,0.199,0.182,1,6
SHORT_13,Advanced Manufacturing,lq_bus,290,0.401,0.378,4,11
SHORT_13,Advanced Manufacturing,cagr_bus,290,0.156,0.135,3,7
SHORT_13,Creative Industries,lq_emp,290,0.508,0.498,4,6
SHORT_13,Creative Industries,lq_bus,290,0.692,0.682,3,9
SHORT_13,Creative Industries,cagr_bus,290,0.14,0.125,3,5
SHORT_13,Digital and Technologies,lq_emp,290,0.415,0.396,7,9
SHORT_13,Digital and Technologies,lq_bus,290,0.617,0.606,5,8
SHORT_13,Digital and Technologies,cagr_emp,290,0.118,0.097,2,7
SHORT_13,Digital and Technologies,cagr_bus,290,0.2,0.171,2,10
SHORT_13,Financial Services,lq_emp,292,0.326,0.319,2,3
SHORT_13,Financial Services,lq_bus,290,0.38,0.358,6,10
SHORT_13,Financial Services,cagr_bus,291,0.05,0.046,1,1
SHORT_13,Life Sciences,lq_emp,290,0.109,0.077,4,10
SHORT_13,Life Sciences,lq_bus,290,0.284,0.261,3,9
SHORT_13,Life Sciences,cagr_emp,284,0.036,0.019,0,5
SHORT_13,Life Sciences,cagr_bus,252,0.202,0.182,4,6
SHORT_13,Professional and Business Services,lq_emp,290,0.46,0.441,7,10
SHORT_13,Professional and Business Services,lq_bus,290,0.778,0.771,5,9
SHORT_13,Professional and Business Services,cagr_emp,292,0.036,0.026,2,3
SHORT_13,Professional and Business Services,cagr_bus,292,0.027,0.02,1,2
