,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,2.175383771333058,3.2419955377626333,0.6710014699262462,0.5022195931144244,-4.178810720721268,8.529578263387384
coverage_4g,-0.0353638328867814,0.03395841293000639,-1.0413865029461713,0.2976962041102098,-0.10192109920173323,0.031193433428170415
active_enterprises,-2.8811808029881492e-05,1.3435819747637742e-05,-2.144402691540062,0.03200063479225271,-5.51455308380235e-05,-2.4780852217394815e-06
apprenticeship_achievements,-0.00018512198095090013,0.00016729206963848683,-1.1065795369197309,0.26847575857484707,-0.000513008412341501,0.00014276445043970073
broadband_availability,0.007418359431547846,0.0017514032085008638,4.235666233532647,2.27875047670123e-05,0.003985672220478258,0.010851046642617435
fe_and_skills_participation,-1.289751278306627e-05,1.869777592433455e-05,-0.6897886056213014,0.49032713521298277,-4.95444801857621e-05,2.3749454619629566e-05
gcse_by_age_19,0.015781278172433275,0.004384707700382428,3.5991631029491096,0.00031924292245404047,0.007187408996948273,0.024375147347918277
high_growth_enterprises,0.0070058232816337645,0.00157139823835119,4.458337237914124,8.2597880057139e-06,0.003925939329095744,0.010085707234171785
level3plus_qualifications,0.004821770695681147,0.0025397731818740535,1.8985044531115365,0.057629661722800894,-0.00015609326969269477,0.009799634661054988
net_additions,0.015666868885527076,0.005294192000451371,2.9592558947977996,0.0030838290963703234,0.005290443237402326,0.026043294533651826
new_enterprises,-2.0119881288350942e-05,9.721164946439345e-05,-0.20696985802838808,0.8360333986110793,-0.00021065121311629456,0.00017041145053959267
related_variety,0.13568827223987848,0.08592656942133287,1.5791189285649678,0.11430878077587958,-0.03272470914101466,0.3041012536207716
is8_sector_Advanced_Manufacturing,0.33814202016444384,0.0858097687686209,3.9406005285507346,8.127788000213934e-05,0.16995796385623693,0.5063260764726507
is8_sector_Creative_Industries,-0.05792714001455352,0.036604671207190666,-1.5825067704248152,0.11353392794957907,-0.12967097724657753,0.013816697217470482
is8_sector_Digital_and_Technologies,0.03057988183305964,0.02948911925559171,1.0369886454734012,0.2997411488947024,-0.02721772984370672,0.08837749350982599
is8_sector_Financial_Services,-0.2753287017959937,0.0398434129362441,-6.910269013263601,4.83735494329389e-12,-0.3534203561721894,-0.19723704741979803
