sector,outcome,best_cv_r2_short,best_cv_r2_full,rf_cv_r2,rf_cv_rmse,best_overall
Advanced Manufacturing,lq_emp,0.009,0.151,,,
Advanced Manufacturing,lq_bus,0.351,0.388,,,
Advanced Manufacturing,cagr_emp,-0.028,-0.023,,,
Advanced Manufacturing,cagr_bus,-0.03,0.082,,,
Creative Industries,lq_emp,0.286,0.587,,,
Creative Industries,lq_bus,0.604,0.66,,,
Creative Industries,cagr_emp,-0.094,-0.047,,,
Creative Industries,cagr_bus,0.03,0.054,,,
Digital and Technologies,lq_emp,0.285,0.591,,,
Digital and Technologies,lq_bus,0.495,0.591,,,
Digital and Technologies,cagr_emp,0.011,0.021,,,
Digital and Technologies,cagr_bus,-0.006,0.093,,,
Financial Services,lq_emp,0.017,0.22,,,
Financial Services,lq_bus,0.234,0.15,,,
Financial Services,cagr_emp,-0.031,-0.019,,,
Financial Services,cagr_bus,-0.025,0.007,,,
Life Sciences,lq_emp,0.028,-0.121,,,
Life Sciences,lq_bus,0.233,0.046,,,
Life Sciences,cagr_emp,-0.038,-0.04,,,
Life Sciences,cagr_bus,0.138,0.196,,,
Professional and Business Services,lq_emp,0.344,0.46,,,
Professional and Business Services,lq_bus,0.713,0.758,,,
Professional and Business Services,cagr_emp,-0.027,-0.02,,,
Professional and Business Services,cagr_bus,0.008,0.019,,,
