variable,sector,outcome,selected,lasso_coef,enet_coef
level_3+_qualifications,Advanced Manufacturing,lq_emp,0,-0.0,-0.009143738650702504
gcse_by_age_19,Advanced Manufacturing,lq_emp,0,0.0,0.0
apprenticeship_starts,Advanced Manufacturing,lq_emp,1,0.15552649225316464,0.11662185034292394
apprenticeship_achievements,Advanced Manufacturing,lq_emp,1,0.12229434520893742,0.11759571298838374
fe_and_skills_participation,Advanced Manufacturing,lq_emp,0,0.0,0.0
new_enterprises,Advanced Manufacturing,lq_emp,0,-0.0,-0.040306351966508995
deaths_of_enterprises,Advanced Manufacturing,lq_emp,1,-0.02077342692453168,-0.05314811015902585
active_enterprises,Advanced Manufacturing,lq_emp,1,-0.09345681099234039,-0.05464005513084771
high_growth_enterprises,Advanced Manufacturing,lq_emp,0,-0.0,-0.0
broadband_availability,Advanced Manufacturing,lq_emp,0,0.0,0.0
4g_area_coverage,Advanced Manufacturing,lq_emp,1,-0.17151248982170494,-0.1351617757065772
net_additions,Advanced Manufacturing,lq_emp,1,0.1850024610343733,0.1395977912253671
related_variety,Advanced Manufacturing,lq_emp,0,0.0,0.033124848030729216
level_3+_qualifications,Advanced Manufacturing,lq_bus,1,-0.06768641482512297,-0.06734592272613879
gcse_by_age_19,Advanced Manufacturing,lq_bus,1,-0.04931906983155272,-0.048970412470106243
apprenticeship_starts,Advanced Manufacturing,lq_bus,1,0.14098375084334397,0.1407185063175353
apprenticeship_achievements,Advanced Manufacturing,lq_bus,0,0.0,0.0
fe_and_skills_participation,Advanced Manufacturing,lq_bus,1,-0.036694333032793014,-0.03625212117544761
new_enterprises,Advanced Manufacturing,lq_bus,1,-0.0751553169853785,-0.07284898332041165
deaths_of_enterprises,Advanced Manufacturing,lq_bus,1,-0.03036902573137182,-0.031298555497853806
active_enterprises,Advanced Manufacturing,lq_bus,0,-0.0,-0.0
high_growth_enterprises,Advanced Manufacturing,lq_bus,1,0.02389801738976716,0.022316126779453035
broadband_availability,Advanced Manufacturing,lq_bus,1,-0.011925809574079762,-0.01187637363573191
4g_area_coverage,Advanced Manufacturing,lq_bus,1,0.01979832754854722,0.01944258322621514
net_additions,Advanced Manufacturing,lq_bus,1,0.006901319227122306,0.006795787030705602
related_variety,Advanced Manufacturing,lq_bus,1,0.14591541699670188,0.1456262972835807
level_3+_qualifications,Advanced Manufacturing,growth_emp,0,0.0,0.0
gcse_by_age_19,Advanced Manufacturing,growth_emp,0,0.0,0.0
apprenticeship_starts,Advanced Manufacturing,growth_emp,0,0.0,0.0
apprenticeship_achievements,Advanced Manufacturing,growth_emp,0,0.0,0.0
fe_and_skills_participation,Advanced Manufacturing,growth_emp,0,0.0,0.0
new_enterprises,Advanced Manufacturing,growth_emp,0,0.0,0.0
deaths_of_enterprises,Advanced Manufacturing,growth_emp,0,0.0,0.0
active_enterprises,Advanced Manufacturing,growth_emp,0,0.0,0.0
high_growth_enterprises,Advanced Manufacturing,growth_emp,0,0.0,0.0
broadband_availability,Advanced Manufacturing,growth_emp,0,0.0,0.0
4g_area_coverage,Advanced Manufacturing,growth_emp,0,0.0,0.0
net_additions,Advanced Manufacturing,growth_emp,0,0.0,0.0
related_variety,Advanced Manufacturing,growth_emp,0,0.0,0.0
level_3+_qualifications,Advanced Manufacturing,growth_bus,1,0.0107703650800036,0.0118347483548427
gcse_by_age_19,Advanced Manufacturing,growth_bus,0,0.0,0.00022707283295703628
apprenticeship_starts,Advanced Manufacturing,growth_bus,1,-0.01648239057523308,-0.01741163762561145
apprenticeship_achievements,Advanced Manufacturing,growth_bus,1,-0.021634342213065365,-0.020505810021733746
fe_and_skills_participation,Advanced Manufacturing,growth_bus,1,0.03373011178599526,0.033386214545214295
new_enterprises,Advanced Manufacturing,growth_bus,0,0.0,0.003955858322520141
deaths_of_enterprises,Advanced Manufacturing,growth_bus,0,0.0,-0.0
active_enterprises,Advanced Manufacturing,growth_bus,0,-0.0,-0.0
high_growth_enterprises,Advanced Manufacturing,growth_bus,1,0.028632570595139177,0.02563548680345801
broadband_availability,Advanced Manufacturing,growth_bus,1,0.012309963720239512,0.013812920512941364
4g_area_coverage,Advanced Manufacturing,growth_bus,1,-0.0013373374622717633,-0.0038800510086149935
net_additions,Advanced Manufacturing,growth_bus,0,0.0,0.0
related_variety,Advanced Manufacturing,growth_bus,1,0.040065695306343935,0.03913411419309096
level_3+_qualifications,Advanced Manufacturing,cagr_bus,1,0.0011321868423151437,0.0011612061243933582
gcse_by_age_19,Advanced Manufacturing,cagr_bus,0,0.0,0.0
apprenticeship_starts,Advanced Manufacturing,cagr_bus,0,-0.0,-0.0
apprenticeship_achievements,Advanced Manufacturing,cagr_bus,1,-0.005500373378360289,-0.005552644214502023
fe_and_skills_participation,Advanced Manufacturing,cagr_bus,1,0.005062815839372298,0.00511925254405003
new_enterprises,Advanced Manufacturing,cagr_bus,0,0.0,0.0
deaths_of_enterprises,Advanced Manufacturing,cagr_bus,0,-0.0,-0.0
active_enterprises,Advanced Manufacturing,cagr_bus,0,-0.0,-0.0
high_growth_enterprises,Advanced Manufacturing,cagr_bus,1,0.004152925737954597,0.0041478087042114056
broadband_availability,Advanced Manufacturing,cagr_bus,1,0.0011724601549988024,0.0011990047798170417
4g_area_coverage,Advanced Manufacturing,cagr_bus,1,-0.000710743488694901,-0.0007623670810227216
net_additions,Advanced Manufacturing,cagr_bus,0,0.0,0.0
related_variety,Advanced Manufacturing,cagr_bus,1,0.009000956710696175,0.009038508806311036
level_3+_qualifications,Advanced Manufacturing,cagr_emp,0,0.0,0.0
gcse_by_age_19,Advanced Manufacturing,cagr_emp,0,0.0,0.0
apprenticeship_starts,Advanced Manufacturing,cagr_emp,0,0.0,0.0
apprenticeship_achievements,Advanced Manufacturing,cagr_emp,0,0.0,0.0
fe_and_skills_participation,Advanced Manufacturing,cagr_emp,0,0.0,0.0
new_enterprises,Advanced Manufacturing,cagr_emp,0,0.0,0.0
deaths_of_enterprises,Advanced Manufacturing,cagr_emp,0,0.0,0.0
active_enterprises,Advanced Manufacturing,cagr_emp,0,0.0,0.0
high_growth_enterprises,Advanced Manufacturing,cagr_emp,0,0.0,0.0
broadband_availability,Advanced Manufacturing,cagr_emp,0,0.0,0.0
4g_area_coverage,Advanced Manufacturing,cagr_emp,0,0.0,0.0
net_additions,Advanced Manufacturing,cagr_emp,0,0.0,0.0
related_variety,Advanced Manufacturing,cagr_emp,0,0.0,0.0
level_3+_qualifications,Creative Industries,lq_emp,1,0.20698656240558705,0.1783630527341679
gcse_by_age_19,Creative Industries,lq_emp,1,0.059309300674071974,0.07546724612285557
apprenticeship_starts,Creative Industries,lq_emp,1,-0.04633743108654629,-0.08303260493442441
apprenticeship_achievements,Creative Industries,lq_emp,1,-0.11383399253382005,-0.08903458432072175
fe_and_skills_participation,Creative Industries,lq_emp,0,0.0,0.0
new_enterprises,Creative Industries,lq_emp,0,-0.0,-0.0
deaths_of_enterprises,Creative Industries,lq_emp,0,-0.0,-0.0
active_enterprises,Creative Industries,lq_emp,0,-0.0,0.0
high_growth_enterprises,Creative Industries,lq_emp,1,0.20520756447982721,0.1881446081652982
broadband_availability,Creative Industries,lq_emp,1,0.03912222774182366,0.05231336182519817
4g_area_coverage,Creative Industries,lq_emp,0,0.0,0.00548460425546928
net_additions,Creative Industries,lq_emp,0,0.0,0.0
related_variety,Creative Industries,lq_emp,0,-0.0,-0.006086101924643935
level_3+_qualifications,Creative Industries,lq_bus,1,0.19525536179994926,0.1762422728970566
gcse_by_age_19,Creative Industries,lq_bus,1,0.05939321105395804,0.06573917540627694
apprenticeship_starts,Creative Industries,lq_bus,1,-0.08546270855975548,-0.0923069563451138
apprenticeship_achievements,Creative Industries,lq_bus,1,-0.10307585192674447,-0.09454148743748608
fe_and_skills_participation,Creative Industries,lq_bus,1,0.009046871613631411,0.006603342906508209
new_enterprises,Creative Industries,lq_bus,0,0.0,0.0
deaths_of_enterprises,Creative Industries,lq_bus,0,0.0,0.0
active_enterprises,Creative Industries,lq_bus,0,0.0,0.0021790862356077354
high_growth_enterprises,Creative Industries,lq_bus,1,0.09411468244000505,0.09188644933684825
broadband_availability,Creative Industries,lq_bus,1,0.038446795545829644,0.03995484977149074
