variable,coef,se,t,p_value,ci_low,ci_high,stars,sector,outcome,n,r2
apprenticeship_starts,0.0009079804402657021,0.0006245720041366078,1.4537642325497295,0.14601168302822456,-0.0003161581935940508,0.002132119074125455,,Advanced Manufacturing,lq_emp,291,0.199
apprenticeship_achievements,0.0007301973691408869,0.0014731162523123479,0.4956821079087937,0.6201187125191736,-0.002157057430431934,0.0036174521687137077,,Advanced Manufacturing,lq_emp,291,0.199
deaths_of_enterprises,4.9676834389049346e-05,0.00018786177820346044,0.2644328977619264,0.7914463646553273,-0.00031852548496138486,0.00041787915373948356,,Advanced Manufacturing,lq_emp,291,0.199
active_enterprises,-3.3230907000323024e-05,2.4856748782934932e-05,-1.3368967635516862,0.18125633741924296,-8.194923938763531e-05,1.548742538698926e-05,,Advanced Manufacturing,lq_emp,291,0.199
4g_area_coverage,-0.1931999164366434,0.170131498889332,-1.1355916905329628,0.2561274881181602,-0.5266515268955503,0.14025169402226353,,Advanced Manufacturing,lq_emp,291,0.199
net_additions,0.05183017173472105,0.02176009822428947,2.3818905227581273,0.01722401714095021,0.009181162915059701,0.0944791805543824,**,Advanced Manufacturing,lq_emp,291,0.199
level_3+_qualifications,-0.008046136932988886,0.0031128872312416256,-2.5847826584387876,0.009744039878554382,-0.01414728379415708,-0.0019449900718206932,***,Advanced Manufacturing,lq_bus,290,0.401
gcse_by_age_19,-0.009673102575462474,0.003637459919233173,-2.659301487918992,0.007830285882159178,-0.016802393012367467,-0.002543812138557481,***,Advanced Manufacturing,lq_bus,290,0.401
apprenticeship_starts,0.0005499284637355155,0.00010317324384785967,5.330146104027181,9.813378633978916e-08,0.0003477126216255418,0.0007521443058454891,***,Advanced Manufacturing,lq_bus,290,0.401
fe_and_skills_participation,-3.637915921675096e-05,2.445139514346405e-05,-1.4878152761142238,0.13679961590549794,-8.430301306969808e-05,1.1544694636196169e-05,,Advanced Manufacturing,lq_bus,290,0.401
new_enterprises,-0.00011917438831198517,0.00011119344591275578,-1.0717752951508615,0.2838209719945203,-0.000337109537617889,9.876076099391865e-05,,Advanced Manufacturing,lq_bus,290,0.401
deaths_of_enterprises,-2.514675563520455e-05,7.442464645873431e-05,-0.33788209728544005,0.7354520392742215,-0.00017101638225645028,0.00012072287098604117,,Advanced Manufacturing,lq_bus,290,0.401
high_growth_enterprises,0.0013253926345878778,0.0009103091478657283,1.4559807925640826,0.14539792939914503,-0.00045878051002629637,0.0031095657792020517,,Advanced Manufacturing,lq_bus,290,0.401
