sector,outcome,n,r2,r2_adj,n_vars,n_sig_05
Advanced Manufacturing,lq_emp,291,0.199,0.182,6,1
Advanced Manufacturing,lq_bus,290,0.401,0.378,11,4
Advanced Manufacturing,growth_bus,290,0.127,0.102,8,2
Creative Industries,lq_emp,290,0.508,0.498,6,4
Creative Industries,lq_bus,290,0.692,0.682,9,3
Creative Industries,growth_bus,295,0.11,0.104,2,2
Digital and Technologies,lq_emp,290,0.415,0.396,9,7
Digital and Technologies,lq_bus,290,0.618,0.606,9,5
Digital and Technologies,growth_emp,290,0.106,0.09,5,2
Digital and Technologies,growth_bus,290,0.244,0.209,13,6
Financial Services,lq_emp,292,0.326,0.319,3,2
Financial Services,lq_bus,290,0.38,0.358,10,6
Financial Services,growth_emp,291,0.015,0.012,1,1
Financial Services,growth_bus,291,0.066,0.059,2,1
Life Sciences,lq_emp,290,0.109,0.077,10,4
Life Sciences,lq_bus,290,0.284,0.261,9,3
Life Sciences,growth_bus,252,0.363,0.342,8,4
Professional and Business Services,lq_emp,290,0.46,0.441,10,7
Professional and Business Services,lq_bus,290,0.778,0.771,9,5
Professional and Business Services,growth_emp,292,0.024,0.014,3,1
Professional and Business Services,growth_bus,292,0.061,0.048,4,1
