,N,Mean,Std,Min,Median,Max
level_3+_qualifications,1450.0,60.502,9.123,37.8,60.25,85.7
gcse_by_age_19,1450.0,75.159,5.72,53.153,75.239,88.641
apprenticeship_starts,1450.0,950.459,263.126,264.0,943.0,2736.0
apprenticeship_achievements,1450.0,457.676,140.048,111.0,452.5,1493.0
fe_and_skills_participation,1450.0,5196.934,1210.776,2611.0,4962.0,11090.0
new_enterprises,1450.0,1005.293,895.393,145.0,657.5,6670.0
deaths_of_enterprises,1450.0,1035.603,876.095,195.0,727.5,6175.0
active_enterprises,1450.0,8573.586,6741.665,1860.0,6285.0,57630.0
high_growth_enterprises,1450.0,32.897,38.165,0.0,25.0,435.0
broadband_availability,1450.0,75.504,15.51,16.5,78.25,98.6
4g_area_coverage,1450.0,99.597,1.328,89.12,100.0,100.0
net_additions,1450.0,9.724,5.368,0.0,9.0,27.0
related_variety,1450.0,1.587,0.254,0.637,1.642,2.025
lq_emp_2022,1450.0,0.878,0.841,0.033,0.68,13.253
delta_lq_emp,1450.0,-0.027,0.283,-2.893,-0.024,2.272
