variable,coef,se,t,p_value,ci_low,ci_high,stars,sector,outcome,n,r2
deaths_of_enterprises,-0.00025095410193713984,8.457667066073387e-05,-2.9671787737283144,0.003005461507660702,-0.0004167213303644837,-8.5186873509796e-05,***,Advanced Manufacturing,lq_emp,283,0.441
high_growth_enterprises,0.0009052560181458723,0.0014313772000837943,0.6324370809405638,0.5271013101609179,-0.0019001917423101475,0.0037107037786018923,,Advanced Manufacturing,lq_emp,283,0.441
apprenticeship_starts,0.000738477616391816,0.00021615422130650565,3.416438559137174,0.0006344597902291059,0.00031482312752476456,0.0011621321052588676,***,Advanced Manufacturing,lq_emp,283,0.441
happiness,0.2685531502397812,0.18199345697247876,1.4756198091252923,0.1400459842598613,-0.08814747084821717,0.6252537713277796,,Advanced Manufacturing,lq_emp,283,0.441
size_large_share,34.35791162023244,4.517401781843854,7.60567983089799,2.8341011732164197e-14,25.50396682412142,43.211856416343466,***,Advanced Manufacturing,lq_emp,283,0.441
size_micro_share,-1.3384658670960043,0.8079612715797341,-1.6565965649306709,0.09760106731555614,-2.9220408602954686,0.24510912610345992,*,Advanced Manufacturing,lq_emp,283,0.441
deaths_of_enterprises,-0.00011692564717201414,2.269774191907416e-05,-5.151422004395736,2.585187364045595e-07,-0.00016141240386378453,-7.243889048024374e-05,***,Advanced Manufacturing,lq_bus,290,0.537
apprenticeship_starts,0.0002963244962417176,9.354842375596598e-05,3.1676054426605953,0.0015369996154732416,0.00011297295486953305,0.00047967603761390207,***,Advanced Manufacturing,lq_bus,290,0.537
level_3+_qualifications,-0.005632802183408038,0.0025361288646371764,-2.2210236482655534,0.026349359714481355,-0.010603523418249362,-0.0006620809485667145,**,Advanced Manufacturing,lq_bus,290,0.537
related_variety,0.6798012009256856,0.0852428379160425,7.97487762661347,1.5253187735239885e-15,0.512728308670257,0.8468740931811143,***,Advanced Manufacturing,lq_bus,290,0.537
size_micro_share,-1.4817431336334521,0.14976984167418622,-9.893467984408238,4.443617604033974e-23,-1.7752866292851233,-1.188199637981781,***,Advanced Manufacturing,lq_bus,290,0.537
early_years_literacy,0.0035274534551379528,0.0014689301853434006,2.4013758382351704,0.016333550993733233,0.0006484031960611414,0.006406503714214765,**,Advanced Manufacturing,cagr_bus,96,0.417
apprenticeship_achievements,-8.79923340811234e-05,2.7594154880701123e-05,-3.188803370189957,0.0014286301778409286,-0.00014207588383111775,-3.3908784331129044e-05,***,Advanced Manufacturing,cagr_bus,96,0.417
level_3+_qualifications,-0.0003265403336378974,0.0005381676210420519,-0.6067632478624757,0.544008041553655,-0.0013813294885259193,0.0007282488212501245,,Advanced Manufacturing,cagr_bus,96,0.417
fe_and_skills_participation,5.668803960177791e-06,3.4202561459930912e-06,1.6574208825905994,0.09743441233232031,-1.0347749038704364e-06,1.2372382824226019e-05,*,Advanced Manufacturing,cagr_bus,96,0.417
fe_and_skills_achievements,-1.137554263486786e-06,5.742864142473914e-07,-1.980813467401215,0.04761219595719883,-2.2631349522223234e-06,-1.1973574751248465e-08,**,Advanced Manufacturing,cagr_bus,96,0.417
smokers,0.0007098102153525591,0.0009982700476430797,0.711040281162822,0.4770592747255322,-0.001246763124872961,0.0026663835555780792,,Advanced Manufacturing,cagr_bus,96,0.417
reception_obesity,0.005401229741839353,0.0026044241248561035,2.0738671901750165,0.03809164691879284,0.00029665225665414206,0.010505807227024565,**,Advanced Manufacturing,cagr_bus,96,0.417
