variable,coef,se,t,p_value,ci_low,ci_high,stars,sector,outcome,n,r2
level_3+_qualifications,-0.004967171119531143,0.007800589921950762,-0.6367686507341689,0.5242755489118149,-0.020256046424720748,0.010321704185658462,,Advanced Manufacturing,lq_emp,290,0.125
gcse_by_age_19,0.01638959324866909,0.01709209341555065,0.9588991149415078,0.33760957069581843,-0.01711029426620438,0.04988948076354256,,Advanced Manufacturing,lq_emp,290,0.125
apprenticeship_starts,0.000515287055760099,0.0007972354499020911,0.6463423770523271,0.5180576493037119,-0.0010472657132465863,0.002077839824766784,,Advanced Manufacturing,lq_emp,290,0.125
apprenticeship_achievements,0.0017282585339022092,0.0019734908706817186,0.875736776682024,0.3811731473774568,-0.0021397124964525525,0.0055962295642569704,,Advanced Manufacturing,lq_emp,290,0.125
deaths_of_enterprises,-0.00021519994750485058,5.323836913863273e-05,-4.0421964644422115,5.29528359000358e-05,-0.00031954523361221943,-0.00011085466139748174,***,Advanced Manufacturing,lq_emp,290,0.125
level_3+_qualifications,-0.010735110643131814,0.0029948938270975565,-3.5844711909321805,0.0003377618420590364,-0.01660499468176435,-0.0048652266044992756,***,Advanced Manufacturing,lq_bus,290,0.339
apprenticeship_starts,0.0006103650796539615,8.053776638628904e-05,7.578619411003079,3.4925136938327833e-14,0.00045251395814153436,0.0007682162011663886,***,Advanced Manufacturing,lq_bus,290,0.339
related_variety,0.502251468120122,0.08521171293251646,5.894159979131986,3.765921875626127e-09,0.3352395797114238,0.6692633565288202,***,Advanced Manufacturing,lq_bus,290,0.339
gcse_by_age_19,0.0012646962905130663,0.0011114144331970943,1.1379160219064652,0.25515555038323423,-0.0009136359704512362,0.003443028551477369,,Advanced Manufacturing,cagr_emp,291,0.052
apprenticeship_starts,7.218131510193403e-05,4.0348520047636364e-05,1.7889457907431339,0.07362354627922175,-6.900331020925587e-06,0.00015126296122479365,*,Advanced Manufacturing,cagr_emp,291,0.052
high_growth_enterprises,0.0002831599924709113,0.00018306980302037622,1.5467323818521546,0.12192779126970156,-7.565022810586809e-05,0.0006419702130476907,,Advanced Manufacturing,cagr_emp,291,0.052
level_3+_qualifications,0.00040853813167315,0.0004211283588712123,0.9701035873437519,0.3319948610601122,-0.00041685828458288513,0.001233934547929185,,Advanced Manufacturing,cagr_bus,126,0.401
gcse_by_age_19,-0.00037379091442928775,0.0005885323390130051,-0.6351238320330056,0.5253476549085784,-0.001527293102631895,0.0007797112737733197,,Advanced Manufacturing,cagr_bus,126,0.401
apprenticeship_achievements,-6.651025422523296e-05,2.6042605001606507e-05,-2.5539017399039037,0.010652331304658954,-0.00011755282209198439,-1.546768635848153e-05,**,Advanced Manufacturing,cagr_bus,126,0.401
fe_and_skills_participation,1.2292435150541831e-05,3.2458660480815445e-06,3.787104880007979,0.0001524127784302252,5.930654597660649e-06,1.8654215703423013e-05,***,Advanced Manufacturing,cagr_bus,126,0.401
fe_and_skills_achievements,-5.828886331856249e-06,1.329210267939626e-06,-4.385225176518877,1.1586585813872655e-05,-8.434090584898751e-06,-3.2236820788137472e-06,***,Advanced Manufacturing,cagr_bus,126,0.401
new_enterprises,4.866874746980406e-05,1.3811271623685016e-05,3.5238426117361845,0.0004253368142438161,2.159915250668139e-05,7.573834243292673e-05,***,Advanced Manufacturing,cagr_bus,126,0.401
active_enterprises,-4.254574792784989e-06,1.7176828882823278e-06,-2.4769268075084208,0.013251907468060074,-7.621171390679089e-06,-8.879781948908899e-07,**,Advanced Manufacturing,cagr_bus,126,0.401
broadband_availability,-0.0004991149341034743,0.00029621193755863733,-1.684992638099438,0.09198999187535874,-0.0010796796635092307,8.144979530228219e-05,*,Advanced Manufacturing,cagr_bus,126,0.401
4g_area_coverage,-0.0018930816972221303,0.0019864846275452716,-0.9529807937962447,0.34059980199426765,-0.0057865200230533265,0.0020003566286090654,,Advanced Manufacturing,cagr_bus,126,0.401
net_additions,0.0004441925288909871,0.000632361291962015,0.7024347228983603,0.4824080973090614,-0.0007952128285717802,0.0016835978863537545,,Advanced Manufacturing,cagr_bus,126,0.401
related_variety,0.060465706752470275,0.011691767607781234,5.1716480160132905,2.320383617955665e-07,0.03755026332560703,0.08338115017933352,***,Advanced Manufacturing,cagr_bus,126,0.401
level_3+_qualifications,0.03462253510600461,0.007256249127178602,4.771409374069638,1.8294129019403295e-06,0.020400548153884347,0.048844522058124874,***,Creative Industries,lq_emp,126,0.587
apprenticeship_achievements,-0.00205425777456542,0.0004546999235791789,-4.5178318007957685,6.247608058220393e-06,-0.0029454532485537256,-0.0011630623005771143,***,Creative Industries,lq_emp,126,0.587
fe_and_skills_achievements,-5.6756699102629746e-05,2.053295806799871e-05,-2.7641754741167532,0.005706684138533699,-9.700055741197835e-05,-1.6512840793281143e-05,***,Creative Industries,lq_emp,126,0.587
high_growth_enterprises,0.006835594551860335,0.002669428420876352,2.5606959521380475,0.010446273446290944,0.0016036109876350554,0.012067578116085614,**,Creative Industries,lq_emp,126,0.587
level_3+_qualifications,0.025752285895411706,0.0029145544746671387,8.835753841366367,9.942549419547812e-19,0.020039864094084057,0.031464707696739355,***,Creative Industries,lq_bus,290,0.664
apprenticeship_starts,-0.00027738539260635617,0.0002663754141496898,-1.0413325625107401,0.2977212290820356,-0.0007994716107066893,0.0002447008254939769,,Creative Industries,lq_bus,290,0.664
apprenticeship_achievements,-0.0009222920408169545,0.0005052988176555428,-1.8252408448057598,0.06796469260724734,-0.0019126595248524904,6.807544321858132e-05,*,Creative Industries,lq_bus,290,0.664
high_growth_enterprises,0.0027423812880362623,0.0011229071662432152,2.4422155014035045,0.014597430009407773,0.0005415236842176295,0.004943238891854895,**,Creative Industries,lq_bus,290,0.664
high_growth_enterprises,0.00013652827173659974,7.483601582862667e-05,1.8243658514537624,0.06809678100529377,-1.0147624033977957e-05,0.0002832041675071774,*,Creative Industries,cagr_emp,292,0.028
related_variety,0.007214577726214566,0.007969227286151789,0.905304550511618,0.36530406633474477,-0.008404820739256816,0.022833976191685947,,Creative Industries,cagr_emp,292,0.028
fe_and_skills_participation,2.1407402315171424e-06,7.619055479393614e-07,2.8097186551626474,0.00495848245556074,6.474327979347386e-07,3.6340476650995466e-06,***,Creative Industries,cagr_bus,291,0.144
high_growth_enterprises,6.18981747234876e-05,3.7891213273405664e-05,1.633575950098475,0.10234792109960157,-1.2367238622913555e-05,0.00013616358806988876,,Creative Industries,cagr_bus,291,0.144
related_variety,0.02572808764937684,0.007642021790851831,3.366659812482557,0.0007608448264408109,0.010750000170236966,0.040706175128516715,***,Creative Industries,cagr_bus,291,0.144
level_3+_qualifications,0.02286146752422186,0.007451098535220502,3.068200939251881,0.0021535175896882446,0.008257582749930525,0.037465352298513194,***,Digital and Technologies,lq_emp,126,0.481
gcse_by_age_19,0.007291870681994124,0.009410344929884323,0.7748781512606849,0.43841166373957796,-0.011152066462678252,0.0257358078266665,,Digital and Technologies,lq_emp,126,0.481
apprenticeship_achievements,1.1504022082378857e-05,0.00035481184930071023,0.032422880197073026,0.9741348163196113,-0.0006839144238350663,0.000706922467999824,,Digital and Technologies,lq_emp,126,0.481
fe_and_skills_achievements,-4.417089679586785e-05,1.93569730319812e-05,-2.2819113671796507,0.022494573597304286,-8.21098667882641e-05,-6.23192680347161e-06,**,Digital and Technologies,lq_emp,126,0.481
high_growth_enterprises,0.004054902058718678,0.002125481239775433,1.9077571623954197,0.05642260978869116,-0.00011096462105671286,0.00822076873849407,*,Digital and Technologies,lq_emp,126,0.481
broadband_availability,0.009653339768452975,0.0031150662618939233,3.0989195596063692,0.0019422774667339701,0.0035479220856850695,0.015758757451220882,***,Digital and Technologies,lq_emp,126,0.481
net_additions,0.019921045874826848,0.007434221041886514,2.6796413185168984,0.007370108606092236,0.005350240379619444,0.03449185137003425,***,Digital and Technologies,lq_emp,126,0.481
related_variety,-0.5614456080087482,0.3751566221474701,-1.4965632348295586,0.13450694251754458,-1.2967390759794912,0.1738478599619947,,Digital and Technologies,lq_emp,126,0.481
level_3+_qualifications,0.01835059516565987,0.0018747425445832715,9.78832811933595,1.2636804248691347e-22,0.01467616729799168,0.022025023033328057,***,Digital and Technologies,lq_bus,290,0.585
apprenticeship_achievements,-0.000584277539284247,0.00017134401921550614,-3.409967514240331,0.0006497061781492965,-0.0009201056459129781,-0.00024844943265551605,***,Digital and Technologies,lq_bus,290,0.585
high_growth_enterprises,0.0009121584854179108,0.0006956057177183809,1.3113153934528212,0.1897512298097035,-0.0004512036687502511,0.0022755206395860725,,Digital and Technologies,lq_bus,290,0.585
broadband_availability,0.004774835017031043,0.000956412613769392,4.992442538176666,5.962045459820326e-07,0.002900300739683218,0.006649369294378868,***,Digital and Technologies,lq_bus,290,0.585
net_additions,0.004334102952051952,0.0026228330319850853,1.6524509563506968,0.09844265510548876,-0.0008065553281008065,0.009474761232204712,*,Digital and Technologies,lq_bus,290,0.585
related_variety,-0.5719250339027557,0.12240947979354075,-4.672228285483938,2.979495333486023e-06,-0.8118432056643791,-0.3320068621411324,***,Digital and Technologies,lq_bus,290,0.585
level_3+_qualifications,0.0005058139375845364,0.00029558374301459335,1.7112373381088273,0.08703730857702388,-7.351955313960939e-05,0.0010851474283086822,*,Digital and Technologies,cagr_emp,290,0.17
gcse_by_age_19,2.492314437191897e-05,0.0005043178739636378,0.049419514275863184,0.9605849770183993,-0.0009635217253566213,0.0010133680141004592,,Digital and Technologies,cagr_emp,290,0.17
apprenticeship_achievements,-3.263279816301442e-05,1.995029381568746e-05,-1.6357051412122243,0.10190131297372428,-7.173465552275403e-05,6.469059196725174e-06,,Digital and Technologies,cagr_emp,290,0.17
fe_and_skills_participation,1.43574867894255e-06,2.295004536103114e-06,0.6255973164133398,0.5315790994233446,-3.0623775561756077e-06,5.933874914060707e-06,,Digital and Technologies,cagr_emp,290,0.17
deaths_of_enterprises,3.2738011840510015e-05,9.840115064304892e-06,3.3269948193255843,0.0008778800557123263,1.345174071074239e-05,5.202428297027764e-05,***,Digital and Technologies,cagr_emp,290,0.17
active_enterprises,-6.383170415770962e-06,1.4762309937998617e-06,-4.323964503238409,1.532499653275289e-05,-9.276529996480463e-06,-3.489810835061461e-06,***,Digital and Technologies,cagr_emp,290,0.17
high_growth_enterprises,0.0005187513257794719,0.00012431243716506788,4.1729640059316795,3.0066245521835084e-05,0.00027510342610554035,0.0007623992254534034,***,Digital and Technologies,cagr_emp,290,0.17
broadband_availability,-0.0001626177447181886,0.00014670108475140127,-1.108497220683539,0.26764713878272706,-0.0004501465873238932,0.000124911097887516,,Digital and Technologies,cagr_emp,290,0.17
4g_area_coverage,-0.00168069877453702,0.0013645062354912493,-1.2317267087694437,0.2180511892528071,-0.004355081852780198,0.0009936843037061582,,Digital and Technologies,cagr_emp,290,0.17
net_additions,0.001276759303620931,0.0003856767614400089,3.310438769641888,0.0009314982943849634,0.0005208467415244673,0.0020326718657173947,***,Digital and Technologies,cagr_emp,290,0.17
related_variety,0.037816680332345774,0.015361917033875546,2.4617162199843805,0.013827402404684589,0.007707876212457332,0.06792548445223422,**,Digital and Technologies,cagr_emp,290,0.17
apprenticeship_achievements,-1.5554179614200236e-05,8.106413540887467e-06,-1.9187498313215103,0.055016001748911136,-3.1442458198127486e-05,3.3409896972701333e-07,*,Digital and Technologies,cagr_bus,291,0.229
fe_and_skills_participation,2.9606004509659926e-07,1.113486968511839e-06,0.265885505146306,0.7903273886319204,-1.8863343104412904e-06,2.478454400634489e-06,,Digital and Technologies,cagr_bus,291,0.229
new_enterprises,-1.3935244592346414e-06,1.979701641213559e-06,-0.7039063009415953,0.4814911272505943,-5.2736683761480525e-06,2.48661945767877e-06,,Digital and Technologies,cagr_bus,291,0.229
high_growth_enterprises,0.00017646967588330346,4.784154564791583e-05,3.6886282308270526,0.00022546638528636793,8.270196944865946e-05,0.0002702373823179475,***,Digital and Technologies,cagr_bus,291,0.229
broadband_availability,-0.00015934368421256675,6.517214401227986e-05,-2.4449661220680863,0.014486574897749068,-0.000287078739271893,-3.160862915324049e-05,**,Digital and Technologies,cagr_bus,291,0.229
related_variety,0.02334928631501379,0.007846596277766795,2.9757216362938945,0.002923000485685683,0.007970240209364826,0.03872833242066275,***,Digital and Technologies,cagr_bus,291,0.229
fe_and_skills_achievements,7.692826784676889e-05,4.9475511520907456e-05,1.5548756441711653,0.11997568903295325,-2.0041952850906244e-05,0.00017389848854444402,,Financial Services,lq_emp,128,0.422
new_enterprises,-0.0006738906725944423,0.000348573887428463,-1.9332792756392094,0.0532018034110378,-0.0013570829379053488,9.301592716464313e-06,*,Financial Services,lq_emp,128,0.422
high_growth_enterprises,0.017977840970775774,0.006874456177700655,2.6151655499808486,0.008918421669895848,0.0045041544491836085,0.03145152749236794,***,Financial Services,lq_emp,128,0.422
net_additions,0.015952978209354096,0.028747432927508653,0.5549357485095151,0.5789386089625599,-0.040390954976543714,0.0722969113952519,,Financial Services,lq_emp,128,0.422
