spec,sector,outcome,outcome_label,n,lasso_lambda,lasso_n_vars,lasso_cv_r2,lasso_cv_r2_std,lasso_cv_rmse,lasso_cv_mae,lasso_rmse_raw,lasso_r2_train,lasso_quality,enet_lambda,enet_l1_ratio,enet_n_vars,enet_cv_r2,enet_cv_r2_std,enet_cv_rmse,enet_cv_mae,enet_rmse_raw,enet_r2_train,enet_quality,best_model,best_cv_r2,overfit_gap_lasso
FULL_31,Advanced Manufacturing,lq_emp,Presence — Employment LQ,96,0.070548,6,0.431,0.321,0.621,0.477,0.614411,0.67,Good,0.065513,1.0,6,0.416,0.307,0.639,0.49,0.63222,0.672,Good,LASSO,0.431,0.239
FULL_31,Advanced Manufacturing,lq_bus,Presence — Business LQ,96,0.081113,5,0.453,0.113,0.726,0.549,0.29831,0.523,Good,0.086851,0.95,5,0.453,0.113,0.726,0.549,0.29831,0.522,Good,LASSO,0.453,0.07
FULL_31,Advanced Manufacturing,cagr_emp,Growth — Employment CAGR,96,100.0,0,-0.015,0.018,0.997,0.774,0.053322,0.0,Not recommended,100.0,0.1,0,-0.015,0.018,0.997,0.774,0.053322,0.0,Not recommended,LASSO,-0.015,0.015
FULL_31,Advanced Manufacturing,cagr_bus,Growth — Business CAGR,96,0.046416,13,-0.113,0.082,1.011,0.754,0.029165,0.358,Not recommended,0.049417,0.9,13,-0.109,0.082,1.009,0.753,0.029107,0.361,Not recommended,ElasticNet,-0.109,0.471
FULL_31,Creative Industries,lq_emp,Presence — Employment LQ,96,0.035112,12,0.588,0.214,0.575,0.381,0.3113,0.822,Good,0.202359,0.1,22,0.594,0.22,0.563,0.389,0.304803,0.818,Good,ElasticNet,0.594,0.234
FULL_31,Creative Industries,lq_bus,Presence — Business LQ,96,0.04037,13,0.71,0.161,0.507,0.369,0.239462,0.812,Good,0.26827,0.1,19,0.708,0.155,0.511,0.367,0.241351,0.806,Good,LASSO,0.71,0.102
FULL_31,Creative Industries,cagr_emp,Growth — Employment CAGR,96,0.123285,4,-0.052,0.105,0.991,0.764,0.040728,0.103,Not recommended,0.11514,1.0,5,-0.066,0.109,0.998,0.758,0.041015,0.112,Not recommended,LASSO,-0.052,0.155
FULL_31,Creative Industries,cagr_bus,Growth — Business CAGR,96,0.053367,11,0.062,0.04,0.954,0.754,0.015146,0.326,Not recommended,0.049417,1.0,11,0.052,0.043,0.959,0.758,0.015225,0.339,Not recommended,LASSO,0.062,0.264
FULL_31,Digital and Technologies,lq_emp,Presence — Employment LQ,96,0.030539,15,0.518,0.298,0.629,0.428,0.355044,0.744,Good,0.202359,0.1,19,0.53,0.274,0.626,0.419,0.35335,0.734,Good,ElasticNet,0.53,0.226
FULL_31,Digital and Technologies,lq_bus,Presence — Business LQ,96,0.004329,27,0.583,0.275,0.579,0.449,0.212716,0.867,Good,0.202359,0.1,26,0.605,0.245,0.57,0.442,0.209409,0.792,Good,ElasticNet,0.605,0.284
