variable,coef,se,t,p_value,ci_low,ci_high,stars,sector,outcome,n,r2
broadband,-0.0028053369520268157,0.0035704481039774065,-0.785710048243448,0.4320373750942156,-0.009803286644491855,0.004192612740438223,,Advanced Manufacturing,lq_emp,294,0.545
transport_to_employer,0.007639140864345933,0.019150427258009334,0.3989018501480689,0.6899655258864953,-0.029895006849906505,0.04517328857859837,,Advanced Manufacturing,lq_emp,294,0.545
apprenticeship_starts,0.0004235464279117075,0.00048119050301726987,0.8802052934459234,0.3787481064030963,-0.0005195696277048537,0.0013666624835282687,,Advanced Manufacturing,lq_emp,294,0.545
apprenticeship_achievements,0.0004278269215679837,0.0009540763220578164,0.44842001806020887,0.6538500973761088,-0.001442128308167774,0.002297782151303741,,Advanced Manufacturing,lq_emp,294,0.545
housing_net_additions,0.005383127042061251,0.008964762072364027,0.6004762868895313,0.5481888598436133,-0.012187483749742899,0.022953737833865402,,Advanced Manufacturing,lq_emp,294,0.545
size_large_share,20.09210547085189,2.3380004555685914,8.593713240301991,8.420300853078558e-18,15.509708782099214,24.674502159604568,***,Advanced Manufacturing,lq_emp,294,0.545
size_micro_share,-2.061779589572394,0.3928213666433162,-5.248644204846679,1.5322267580550227e-07,-2.8316953205510975,-1.2918638585936906,***,Advanced Manufacturing,lq_emp,294,0.545
related_variety,1.4834977920731627,0.9757274946486375,1.5204017517282065,0.12841003449420738,-0.4288929561636652,3.3958885403099908,,Advanced Manufacturing,lq_emp,294,0.545
within_sector_diversity,0.4780698559507156,0.20183205236710952,2.3686518089860225,0.017853051994988167,0.0824863023853788,0.8736534095160524,**,Advanced Manufacturing,lq_emp,294,0.545
n_universities_feecap_lad,-0.058312263722737664,0.018662566629461863,-3.124557563839176,0.0017807267602356932,-0.09489022217556198,-0.021734305269913344,***,Advanced Manufacturing,lq_emp,294,0.545
enterprise_birth_rate,-0.564621920393901,1.0541491579266782,-0.5356186229891895,0.5922221553112443,-2.630716304263416,1.501472463475614,,Advanced Manufacturing,lq_bus,293,0.608
broadband,-0.002306185999593357,0.001659830727422885,-1.389410354617321,0.16470800340226777,-0.005559394445775131,0.0009470224465884173,,Advanced Manufacturing,lq_bus,293,0.608
coverage_4g,0.02796644853109729,0.0147119897224255,1.9009290421449931,0.05731130747675076,-0.0008685214657801164,0.0568014185279747,*,Advanced Manufacturing,lq_bus,293,0.608
cycle_to_employer,0.0001341747215177138,0.01220630839955211,0.010992244102454196,0.9912296347621371,-0.023789750125793166,0.024058099568828595,,Advanced Manufacturing,lq_bus,293,0.608
nvq_level3,-0.006888861092847771,0.0025940294711765603,-2.6556603035520743,0.007915330320501643,-0.011973065431189311,-0.00180465675450623,***,Advanced Manufacturing,lq_bus,293,0.608
gcse_age19,0.004403125936068609,0.003759256024879309,1.1712758872840994,0.24148790042665824,-0.002964880481360046,0.011771132353497263,,Advanced Manufacturing,lq_bus,293,0.608
apprenticeship_starts,0.00030154825729528437,0.00023723184814139622,1.2711120351579184,0.20368879435183573,-0.00016341762104772758,0.0007665141356382963,,Advanced Manufacturing,lq_bus,293,0.608
apprenticeship_achievements,7.96790352281453e-05,0.0004243783767676564,0.18775470096999997,0.8510689475342806,-0.0007520872990540308,0.0009114453695103214,,Advanced Manufacturing,lq_bus,293,0.608
fe_participation,-1.685352819292582e-05,1.953376329092369e-05,-0.8627896192822593,0.3882531476415437,-5.5139000725666856e-05,2.1431944339815213e-05,,Advanced Manufacturing,lq_bus,293,0.608
housing_net_additions,0.0012271753325057008,0.0033504965174275376,0.3662667088661558,0.7141660686706329,-0.005339677171979151,0.007794027836990552,,Advanced Manufacturing,lq_bus,293,0.608
size_large_share,-0.6639908081267205,0.5535362826409772,-1.1995434246130239,0.2303167101688074,-1.7489019862392197,0.42092036998577864,,Advanced Manufacturing,lq_bus,293,0.608
size_micro_share,-1.3013119723294373,0.1637618800733681,-7.946366833028709,1.9206113314624125e-15,-1.6222793593138063,-0.9803445853450683,***,Advanced Manufacturing,lq_bus,293,0.608
related_variety,2.272019178576881,0.4124169395268838,5.509034573563575,3.608070429809781e-08,1.4636968304899554,3.0803415266638066,***,Advanced Manufacturing,lq_bus,293,0.608
