spec,sector,outcome,outcome_label,n,lasso_lambda,lasso_n_vars,lasso_cv_r2,lasso_cv_r2_std,lasso_cv_rmse,lasso_cv_mae,lasso_rmse_raw,lasso_r2_train,lasso_quality,enet_lambda,enet_l1_ratio,enet_n_vars,enet_cv_r2,enet_cv_r2_std,enet_cv_rmse,enet_cv_mae,enet_rmse_raw,enet_r2_train,enet_quality,best_model,best_cv_r2,overfit_gap_lasso
SHORT_12,Advanced Manufacturing,lq_emp,Presence — Employment LQ,294,0.070548,7,0.03,0.149,0.961,0.649,1.014792,0.165,Not recommended,0.471487,0.1,9,0.057,0.128,0.949,0.641,1.00212,0.164,Not recommended,ElasticNet,0.057,0.135
SHORT_12,Advanced Manufacturing,lq_bus,Presence — Business LQ,294,0.015199,8,0.358,0.058,0.786,0.617,0.336496,0.44,Good,0.015999,0.95,8,0.354,0.052,0.79,0.62,0.338209,0.44,Good,LASSO,0.358,0.082
SHORT_12,Advanced Manufacturing,gd_emp,Growth Differential — Employment,294,0.081113,1,-0.031,0.045,1.006,0.744,0.048591,0.019,Not recommended,0.828643,0.1,2,-0.039,0.042,1.01,0.745,0.048784,0.012,Not recommended,LASSO,-0.031,0.05
SHORT_12,Advanced Manufacturing,gd_bus,Growth Differential — Business,294,0.035112,8,0.012,0.064,0.973,0.71,0.033827,0.129,Not recommended,0.152642,0.1,11,0.021,0.067,0.968,0.707,0.033654,0.133,Not recommended,ElasticNet,0.021,0.117
SHORT_12,Creative Industries,lq_emp,Presence — Employment LQ,294,0.011498,10,0.413,0.094,0.73,0.476,0.469991,0.496,Good,0.086851,0.1,10,0.426,0.082,0.724,0.469,0.466128,0.494,Good,ElasticNet,0.426,0.083
SHORT_12,Creative Industries,lq_bus,Presence — Business LQ,294,0.002848,12,0.618,0.032,0.616,0.441,0.297583,0.673,Good,0.049417,0.1,12,0.625,0.031,0.611,0.432,0.295167,0.671,Good,ElasticNet,0.625,0.055
SHORT_12,Creative Industries,gd_emp,Growth Differential — Employment,294,0.081113,2,0.033,0.031,0.976,0.762,0.034021,0.07,Not recommended,0.086851,0.95,2,0.029,0.03,0.978,0.763,0.034091,0.069,Not recommended,LASSO,0.033,0.037
SHORT_12,Creative Industries,gd_bus,Growth Differential — Business,294,0.011498,12,0.049,0.021,0.967,0.728,0.016204,0.12,Not recommended,0.086851,0.1,12,0.055,0.028,0.963,0.726,0.016137,0.118,Not recommended,ElasticNet,0.055,0.071
SHORT_12,Digital and Technologies,lq_emp,Presence — Employment LQ,294,0.020092,12,0.382,0.074,0.775,0.542,0.437264,0.431,Good,0.11514,0.1,12,0.39,0.074,0.77,0.537,0.434443,0.429,Good,ElasticNet,0.39,0.049
SHORT_12,Digital and Technologies,lq_bus,Presence — Business LQ,294,0.023101,11,0.596,0.077,0.629,0.474,0.215828,0.642,Good,0.028118,0.9,11,0.6,0.079,0.626,0.471,0.214799,0.64,Good,ElasticNet,0.6,0.046
SHORT_12,Digital and Technologies,gd_emp,Growth Differential — Employment,294,0.013219,9,0.058,0.08,0.958,0.743,0.028971,0.153,Not recommended,0.11514,0.1,10,0.065,0.075,0.955,0.743,0.028881,0.148,Not recommended,ElasticNet,0.065,0.095
SHORT_12,Digital and Technologies,gd_bus,Growth Differential — Business,294,0.030539,9,0.046,0.023,0.963,0.721,0.017791,0.135,Not recommended,0.037276,0.9,9,0.063,0.043,0.957,0.719,0.01768,0.131,Not recommended,ElasticNet,0.063,0.089
SHORT_12,Financial Services,lq_emp,Presence — Employment LQ,294,0.070548,6,0.004,0.044,0.968,0.703,0.48764,0.083,Not recommended,0.065513,1.0,6,0.006,0.043,0.967,0.702,0.487136,0.086,Not recommended,ElasticNet,0.006,0.079
SHORT_12,Financial Services,lq_bus,Presence — Business LQ,294,0.005722,12,0.245,0.097,0.859,0.563,0.315017,0.321,Marginal,0.086851,0.1,12,0.247,0.099,0.858,0.556,0.31465,0.317,Marginal,ElasticNet,0.247,0.076
SHORT_12,Financial Services,gd_emp,Growth Differential — Employment,294,100.0,0,-0.043,0.013,1.009,0.762,0.047906,0.0,Not recommended,0.202359,0.7,0,-0.043,0.013,1.009,0.763,0.047906,0.0,Not recommended,LASSO,-0.043,0.043
