variable,coef,se,t,p_value,ci_low,ci_high,stars,sector,outcome,n,r2
nvq_level3,-0.013284400223822247,0.006652523149276632,-1.9968965046392566,0.04583642698707278,-0.026323106002723425,-0.0002456944449210699,**,Advanced Manufacturing,lq_emp,294,0.187
apprenticeship_starts,0.0009729024300203834,0.0005890397978754615,1.651675206886582,0.09860077950950778,-0.0001815943592762742,0.002127399219317041,*,Advanced Manufacturing,lq_emp,294,0.187
apprenticeship_achievements,0.0004069540337906665,0.001351917345732189,0.3010199070789073,0.7633993144962827,-0.0022427552739194083,0.0030566633415007416,,Advanced Manufacturing,lq_emp,294,0.187
enterprise_birth_rate,-3.238904615579387,3.1066504182259327,-1.042571316224559,0.29714687974371956,-9.327827547858512,2.8500183166997375,,Advanced Manufacturing,lq_emp,294,0.187
enterprise_death_rate,-2.171790503151657,2.8208231322641617,-0.769913745498977,0.44135105964956467,-7.700502249146879,3.3569212428435655,,Advanced Manufacturing,lq_emp,294,0.187
housing_net_additions,0.026486040563327436,0.014961000445995102,1.7703388659691848,0.07667070720028604,-0.0028369814835106505,0.05580906261016552,*,Advanced Manufacturing,lq_emp,294,0.187
related_variety,2.2311806828188043,1.1227767069783117,1.9871989407613382,0.046900355201304,0.03057877446083168,4.431782591176777,**,Advanced Manufacturing,lq_emp,294,0.187
nvq_level3,-0.00932965774195895,0.0026160875237319758,-3.5662636121018387,0.0003621071364239953,-0.014457095068878198,-0.004202220415039704,***,Advanced Manufacturing,lq_bus,294,0.442
apprenticeship_starts,0.000547255903796712,0.00010174750043333385,5.378568529605113,7.50804033533775e-08,0.00034783446743040416,0.0007466773401630199,***,Advanced Manufacturing,lq_bus,294,0.442
fe_participation,-2.5083972513659366e-05,2.3361853231702243e-05,-1.0737150115993448,0.2829504311579377,-7.087236345990643e-05,2.07044184325877e-05,,Advanced Manufacturing,lq_bus,294,0.442
enterprise_birth_rate,-2.087962727629776,1.1912351829018988,-1.7527712055510412,0.07964128759940459,-4.422740783234482,0.24681532797492967,*,Advanced Manufacturing,lq_bus,294,0.442
broadband,-0.00322041078068256,0.0015527945911378218,-2.0739451303232452,0.03808440702548956,-0.00626383225470129,-0.00017698930666383084,**,Advanced Manufacturing,lq_bus,294,0.442
coverage_4g,0.037982444753541754,0.017792168963174045,2.1347844004942416,0.032778625086988776,0.0031104343788692715,0.07285445512821423,**,Advanced Manufacturing,lq_bus,294,0.442
