sector,outcome,n,best_cv_r2_short,lasso_cv_rmse_short,best_cv_r2_full,lasso_cv_rmse_full,rf_cv_r2,rf_cv_rmse,rf_cv_mae,rf_n_features_used,best_overall
Advanced Manufacturing,gd_bus,294,-0.009,0.986,0.009,0.968,,,,,
Advanced Manufacturing,gd_emp,294,-0.055,1.02,-0.043,1.002,,,,,
Advanced Manufacturing,lq_bus,294,0.366,0.781,0.538,0.677,,,,,
Advanced Manufacturing,lq_emp,294,0.057,0.96,0.434,0.7,,,,,
Creative Industries,gd_bus,294,0.068,0.958,0.11,0.926,,,,,
Creative Industries,gd_emp,294,-0.01,0.998,0.037,0.983,,,,,
Creative Industries,lq_bus,294,0.637,0.604,0.634,0.596,,,,,
Creative Industries,lq_emp,294,0.411,0.732,0.512,0.641,,,,,
Digital and Technologies,gd_bus,294,0.109,0.939,-0.027,0.99,,,,,
Digital and Technologies,gd_emp,294,0.039,0.97,0.075,0.957,,,,,
Digital and Technologies,lq_bus,294,0.593,0.633,0.614,0.603,,,,,
Digital and Technologies,lq_emp,294,0.348,0.799,0.561,0.646,,,,,
Financial Services,gd_bus,294,0.003,0.975,0.034,0.963,,,,,
Financial Services,gd_emp,294,-0.043,1.01,-0.007,0.997,,,,,
Financial Services,lq_bus,294,0.278,0.842,0.113,0.834,,,,,
Financial Services,lq_emp,294,0.082,0.932,0.268,0.825,,,,,
Life Sciences,gd_bus,234,-0.042,1.006,0.116,0.922,,,,,
Life Sciences,gd_emp,279,0.02,0.981,-0.029,0.999,,,,,
Life Sciences,lq_bus,294,0.19,0.862,0.096,0.856,,,,,
Life Sciences,lq_emp,294,-0.008,0.946,-0.042,0.981,,,,,
Professional and Business Services,gd_bus,294,-0.025,0.983,-0.055,0.978,,,,,
Professional and Business Services,gd_emp,294,-0.004,0.979,-0.035,1.003,,,,,
Professional and Business Services,lq_bus,294,0.705,0.542,0.783,0.447,,,,,
Professional and Business Services,lq_emp,294,0.377,0.782,0.444,0.727,,,,,
