spec,sector,outcome,outcome_label,n,lasso_lambda,lasso_n_vars,lasso_cv_r2,lasso_cv_r2_std,lasso_cv_rmse,lasso_cv_mae,lasso_r2_train,enet_lambda,enet_l1_ratio,enet_n_vars,enet_cv_r2,enet_cv_r2_std,enet_cv_rmse,enet_cv_mae,enet_r2_train,best_model,best_cv_r2
FULL_31,Advanced Manufacturing,lq_emp,Presence — Employment LQ,239,0.023101,15,0.154,0.197,1.067,0.697,0.489,0.02121,1.0,17,0.147,0.209,1.068,0.698,0.49,LASSO,0.154
FULL_31,Advanced Manufacturing,lq_bus,Presence — Business LQ,239,0.008697,15,0.388,0.06,0.332,0.25,0.494,0.065513,0.1,20,0.386,0.057,0.333,0.25,0.491,LASSO,0.388
FULL_31,Advanced Manufacturing,growth_emp,Growth — Employment,239,0.030539,2,-0.04,0.014,0.315,0.224,0.012,0.028118,1.0,3,-0.04,0.013,0.315,0.224,0.016,LASSO,-0.04
FULL_31,Advanced Manufacturing,growth_bus,Growth — Business,239,0.015199,6,0.056,0.104,0.193,0.144,0.167,0.015999,1.0,4,0.046,0.098,0.194,0.145,0.164,LASSO,0.056
FULL_31,Advanced Manufacturing,cagr_emp,CAGR — Employment,239,0.003765,6,-0.023,0.018,0.055,0.04,0.041,0.037276,0.1,6,-0.023,0.018,0.055,0.04,0.04,LASSO,-0.023
FULL_31,Advanced Manufacturing,cagr_bus,CAGR — Business,239,0.002477,7,0.081,0.11,0.031,0.024,0.205,0.005179,0.5,7,0.079,0.112,0.032,0.024,0.201,LASSO,0.081
FULL_31,Creative Industries,lq_emp,Presence — Employment LQ,239,0.004329,25,0.557,0.184,0.294,0.222,0.736,0.11514,0.1,24,0.579,0.175,0.286,0.217,0.71,ElasticNet,0.579
FULL_31,Creative Industries,lq_bus,Presence — Business LQ,239,0.00163,29,0.653,0.109,0.223,0.164,0.792,0.015999,0.1,29,0.649,0.107,0.225,0.164,0.787,LASSO,0.653
FULL_31,Creative Industries,growth_emp,Growth — Employment,239,100.0,0,-0.059,0.037,0.248,0.195,0.0,0.065513,0.1,16,-0.057,0.033,0.248,0.194,0.134,ElasticNet,-0.057
FULL_31,Creative Industries,growth_bus,Growth — Business,239,0.006579,6,0.037,0.061,0.104,0.076,0.122,0.006866,0.95,6,0.034,0.058,0.104,0.076,0.123,LASSO,0.037
FULL_31,Creative Industries,cagr_emp,CAGR — Employment,239,100.0,0,-0.051,0.038,0.038,0.03,0.0,100.0,0.1,0,-0.051,0.038,0.038,0.03,0.0,LASSO,-0.051
FULL_31,Creative Industries,cagr_bus,CAGR — Business,239,0.000933,6,0.041,0.062,0.016,0.012,0.136,0.000954,1.0,6,0.04,0.062,0.016,0.012,0.136,LASSO,0.041
FULL_31,Digital and Technologies,lq_emp,Presence — Employment LQ,239,0.013219,17,0.571,0.092,0.355,0.245,0.685,0.11514,0.1,20,0.593,0.066,0.348,0.239,0.68,ElasticNet,0.593
FULL_31,Digital and Technologies,lq_bus,Presence — Business LQ,239,0.001417,27,0.586,0.17,0.198,0.147,0.76,0.001265,1.0,28,0.587,0.161,0.198,0.147,0.761,ElasticNet,0.587
FULL_31,Digital and Technologies,growth_emp,Growth — Employment,239,0.01,15,0.009,0.122,0.227,0.177,0.202,0.086851,0.1,19,0.013,0.129,0.226,0.176,0.202,ElasticNet,0.013
FULL_31,Digital and Technologies,growth_bus,Growth — Business,239,0.002848,17,0.085,0.053,0.085,0.067,0.214,0.028118,0.1,18,0.086,0.054,0.085,0.067,0.212,ElasticNet,0.086
FULL_31,Digital and Technologies,cagr_emp,CAGR — Employment,239,0.00163,15,0.017,0.116,0.036,0.029,0.203,0.015999,0.1,15,0.015,0.117,0.036,0.029,0.203,LASSO,0.017
FULL_31,Digital and Technologies,cagr_bus,CAGR — Business,239,0.000534,15,0.094,0.052,0.016,0.012,0.219,0.005179,0.1,16,0.095,0.053,0.016,0.012,0.219,ElasticNet,0.095
FULL_31,Financial Services,lq_emp,Presence — Employment LQ,239,0.035112,9,0.217,0.201,0.44,0.323,0.293,0.26827,0.1,13,0.22,0.202,0.44,0.322,0.286,ElasticNet,0.22
FULL_31,Financial Services,lq_bus,Presence — Business LQ,239,0.013219,14,0.154,0.179,0.311,0.206,0.332,0.02121,0.5,16,0.164,0.163,0.31,0.203,0.34,ElasticNet,0.164
FULL_31,Financial Services,growth_emp,Growth — Employment,239,0.035112,4,-0.026,0.071,0.343,0.265,0.035,0.037276,0.95,4,-0.038,0.073,0.346,0.268,0.035,LASSO,-0.026
FULL_31,Financial Services,growth_bus,Growth — Business,239,0.023101,4,-0.012,0.083,0.23,0.147,0.09,0.202359,0.1,4,-0.006,0.081,0.23,0.147,0.09,ElasticNet,-0.006
FULL_31,Financial Services,cagr_emp,CAGR — Employment,239,0.007565,1,-0.018,0.023,0.059,0.046,0.015,0.015999,0.5,1,-0.018,0.022,0.059,0.046,0.013,LASSO,-0.018
FULL_31,Financial Services,cagr_bus,CAGR — Business,239,0.001417,12,0.008,0.063,0.033,0.023,0.131,0.001265,1.0,12,0.006,0.064,0.033,0.023,0.138,LASSO,0.008
FULL_31,Life Sciences,lq_emp,Presence — Employment LQ,177,0.162975,6,-0.139,0.14,1.86,1.243,0.237,0.26827,0.7,5,-0.112,0.109,1.843,1.226,0.218,ElasticNet,-0.112
FULL_31,Life Sciences,lq_bus,Presence — Business LQ,177,0.053367,12,0.024,0.299,0.926,0.465,0.325,0.065513,0.9,10,0.036,0.239,0.931,0.462,0.315,ElasticNet,0.036
FULL_31,Life Sciences,growth_emp,Growth — Employment,177,0.162975,7,-0.116,0.231,2.377,1.302,0.048,0.355648,0.5,4,-0.099,0.194,2.374,1.299,0.037,ElasticNet,-0.099
FULL_31,Life Sciences,growth_bus,Growth — Business,176,0.04037,10,0.113,0.168,0.604,0.373,0.316,0.065513,0.5,10,0.105,0.17,0.607,0.378,0.327,LASSO,0.113
FULL_31,Life Sciences,cagr_emp,CAGR — Employment,177,0.007565,16,-0.038,0.068,0.224,0.136,0.144,0.065513,0.1,16,-0.087,0.103,0.227,0.138,0.142,LASSO,-0.038
FULL_31,Life Sciences,cagr_bus,CAGR — Business,176,0.005722,7,0.194,0.063,0.072,0.049,0.3,0.005179,1.0,7,0.193,0.062,0.072,0.049,0.307,LASSO,0.194
FULL_31,Professional and Business Services,lq_emp,Presence — Employment LQ,239,0.01,17,0.46,0.151,0.258,0.174,0.538,0.086851,0.1,21,0.457,0.151,0.258,0.175,0.533,LASSO,0.46
FULL_31,Professional and Business Services,lq_bus,Presence — Business LQ,239,0.006579,14,0.76,0.071,0.107,0.083,0.824,0.006866,0.95,14,0.757,0.072,0.108,0.084,0.824,LASSO,0.76
FULL_31,Professional and Business Services,growth_emp,Growth — Employment,239,100.0,0,-0.037,0.027,0.284,0.191,0.0,100.0,0.1,0,-0.035,0.024,0.284,0.191,0.0,ElasticNet,-0.035
FULL_31,Professional and Business Services,growth_bus,Growth — Business,239,0.011498,1,0.047,0.077,0.087,0.06,0.048,0.012068,0.95,1,0.046,0.075,0.087,0.06,0.048,LASSO,0.047
FULL_31,Professional and Business Services,cagr_emp,CAGR — Employment,239,0.002848,7,-0.021,0.014,0.039,0.029,0.042,0.002947,1.0,6,-0.023,0.014,0.039,0.029,0.04,LASSO,-0.021
