variable,coef,se,t,p_value,ci_low,ci_high,stars,sector,outcome,n,r2
active_enterprises,-3.896955259370396e-05,1.3387406204974478e-05,-2.9109113443665957,0.0036037625589635356,-6.520838660186199e-05,-1.273071858554594e-05,***,Advanced Manufacturing,lq_emp,268,0.502
broadband_availability,0.0017863515039572547,0.005249436814564983,0.340293933817982,0.7336351849803662,-0.008502355591708779,0.012075058599623288,,Advanced Manufacturing,lq_emp,268,0.502
4g_area_coverage,-0.08450446646903652,0.044879646412528146,-1.8829129287758184,0.05971216882303961,-0.1724669570764839,0.003458024138410884,*,Advanced Manufacturing,lq_emp,268,0.502
early_years_literacy,0.051421051081507026,0.035138841410702934,1.463367857821422,0.14336674883466616,-0.017449812541935346,0.1202919147049494,,Advanced Manufacturing,lq_emp,268,0.502
apprenticeship_achievements,0.0012874873604084677,0.00047167071824513577,2.7296317337624876,0.00634051109348827,0.00036302974008586223,0.002211944980731073,***,Advanced Manufacturing,lq_emp,268,0.502
smokers,-0.030917706240386943,0.020130627576445723,-1.5358540672901264,0.12457417570861978,-0.0703730112764094,0.00853759879563551,,Advanced Manufacturing,lq_emp,268,0.502
reception_obesity,0.0020810553735142595,0.04750198435714432,0.04380986187582852,0.9650559659931183,-0.09102112316067364,0.09518323390770216,,Advanced Manufacturing,lq_emp,268,0.502
year_6_obesity,0.018922950458634513,0.02699079153501335,0.7010891264188023,0.483247395774386,-0.03397802886422022,0.07182392978148924,,Advanced Manufacturing,lq_emp,268,0.502
under_75_mortality_rate,0.013332466003279917,0.014012726157191362,0.951454117758354,0.34137389940825136,-0.014131972590037503,0.040796904596597336,,Advanced Manufacturing,lq_emp,268,0.502
life_satisfaction,0.3449748597695816,0.22380805029681117,1.5413871811674364,0.12322258199587957,-0.09368085826229727,0.7836305778014605,,Advanced Manufacturing,lq_emp,268,0.502
net_additions,0.03483644664301535,0.01652251695563613,2.108422508299016,0.034994459192317064,0.0024529084760161537,0.06721998481001454,**,Advanced Manufacturing,lq_emp,268,0.502
related_variety,0.5096497570871643,0.22712493125089328,2.243918156761841,0.024837667697038077,0.06449307184427766,0.954806442330051,**,Advanced Manufacturing,lq_emp,268,0.502
size_large_share,30.429239879427552,3.4535926211196806,8.810894398298247,1.241512808721516e-18,23.660322724759695,37.19815703409541,***,Advanced Manufacturing,lq_emp,268,0.502
size_micro_share,-1.8319456658568947,0.6968671280943907,-2.628830650781906,0.00856790165370412,-3.197780138931761,-0.4661111927820285,***,Advanced Manufacturing,lq_emp,268,0.502
drive_to_employer,-0.049794135845671494,0.08365963772427794,-0.5951990374352445,0.5517104336432027,-0.2137640127449247,0.11417574105358172,,Advanced Manufacturing,lq_emp,268,0.502
active_enterprises,-1.482966992726588e-05,4.001741642444139e-06,-3.7058039354605556,0.00021072126601739784,-2.2672939421890554e-05,-6.9864004326412035e-06,***,Advanced Manufacturing,lq_bus,252,0.502
4g_area_coverage,0.01925661229016035,0.017239538725435113,1.1170027572576091,0.2639931462676628,-0.014532262721776022,0.053045487302096725,,Advanced Manufacturing,lq_bus,252,0.502
early_years_literacy,-0.005378406492075206,0.00977381702035767,-0.5502872092727581,0.5821223958272215,-0.02453473584346082,0.013777922859310409,,Advanced Manufacturing,lq_bus,252,0.502
apprenticeship_starts,0.00013545214697353576,0.00025525606174836606,0.5306520285777417,0.5956599344030564,-0.0003648405408887939,0.0006357448348358654,,Advanced Manufacturing,lq_bus,252,0.502
apprenticeship_achievements,0.0007016349359733783,0.0004943973564815665,1.4191721027123625,0.1558488470537271,-0.0002673660767823024,0.001670635948729059,,Advanced Manufacturing,lq_bus,252,0.502
level_3+_qualifications,-0.006809521549955991,0.0034790659582688093,-1.9572844066872546,0.05031403978117827,-0.013628365528002187,9.322428090205621e-06,*,Advanced Manufacturing,lq_bus,252,0.502
fe_and_skills_participation,-5.218141110884287e-05,2.4514455772215805e-05,-2.1285975749861126,0.03328756932487188,-0.00010022886152298589,-4.133960694699854e-06,**,Advanced Manufacturing,lq_bus,252,0.502
reception_obesity,-0.01916078809069514,0.018872477110514565,-1.0152767958595084,0.3099739021948892,-0.056150163526360236,0.017828587344969952,,Advanced Manufacturing,lq_bus,252,0.502
cancer_diagnosis,-0.010776789420244846,0.007671705785031965,-1.4047448797203768,0.16009715503490862,-0.02581305645889508,0.004259477618405387,,Advanced Manufacturing,lq_bus,252,0.502
worthwhile,0.16407738948195585,0.1075677096928333,1.525340550156638,0.1271741785709011,-0.0467514474154575,0.3749062263793692,,Advanced Manufacturing,lq_bus,252,0.502
happiness,-0.1903750883611416,0.11565755845374447,-1.6460237524145842,0.09975886890229162,-0.41705973747031677,0.036309560748033626,*,Advanced Manufacturing,lq_bus,252,0.502
net_additions,0.0028731555016967975,0.004421855751465866,0.6497623765190289,0.5158457250974138,-0.005793522516007597,0.011539833519401192,,Advanced Manufacturing,lq_bus,252,0.502
related_variety,0.6958673850747898,0.09054204811414694,7.685571505931756,1.5231550338997737e-14,0.5184082316845691,0.8733265384650106,***,Advanced Manufacturing,lq_bus,252,0.502
size_large_share,-1.6666299035978955,0.5907743872861365,-2.8210937025451606,0.0047860220937937835,-2.8245264256674405,-0.5087333815283503,***,Advanced Manufacturing,lq_bus,252,0.502
size_micro_share,-1.5620361330464512,0.17785826643485572,-8.782476993379328,1.599132879866343e-18,-1.9106319296114975,-1.2134403364814048,***,Advanced Manufacturing,lq_bus,252,0.502
anxiety,0.09111044820581601,0.03803225723880914,2.3956098012727063,0.016592743646100912,0.01656859376698734,0.1656523026446447,**,Advanced Manufacturing,growth_emp,283,0.018
related_variety,0.09893130449223837,0.08133061535157532,1.2164091475833416,0.22382910102804332,-0.06047377243732967,0.2583363814218064,,Advanced Manufacturing,growth_emp,283,0.018
year_6_obesity,0.008439717963933464,0.0036074435109421945,2.3395287932670006,0.019308083196473716,0.001369258606224038,0.01551017732164289,**,Advanced Manufacturing,growth_bus,281,0.154
happiness,-0.18550184004601009,0.06987564019392434,-2.6547426189039682,0.007936894105147968,-0.32245557822278115,-0.048548101869238997,***,Advanced Manufacturing,growth_bus,281,0.154
related_variety,0.27174213560774196,0.049937836917459184,5.441608054768106,5.280174939090979e-08,0.17386577378368726,0.36961849743179664,***,Advanced Manufacturing,growth_bus,281,0.154
size_large_share,0.5092451995303766,0.4768697000314294,1.0678917102445666,0.2855693623161355,-0.42540223784964415,1.4438926369103973,,Advanced Manufacturing,growth_bus,281,0.154
apprenticeship_starts,2.7818617499958627e-05,1.1704806444425682e-05,2.3766832567493688,0.017469081557374935,4.877618422871964e-06,5.0759616577045286e-05,**,Advanced Manufacturing,cagr_emp,270,0.054
smokers,-0.0010438444780633853,0.0009363260839034392,-1.1148300747018751,0.2649232460337322,-0.0028790098802995547,0.0007913209241727844,,Advanced Manufacturing,cagr_emp,270,0.054
anxiety,0.02087765375303342,0.006801107347519776,3.0697433059407704,0.002142428210017752,0.007547728296903922,0.03420757920916292,***,Advanced Manufacturing,cagr_emp,270,0.054
related_variety,0.016132882285944353,0.017237479787309357,0.9359188515377849,0.3493149702706655,-0.017651957281419134,0.04991772185330784,,Advanced Manufacturing,cagr_emp,270,0.054
public_transport_to_employer,-0.0012190335025996342,0.0031206708322662887,-0.3906318763246009,0.6960693601860383,-0.007335435941446197,0.004897368936246928,,Advanced Manufacturing,cagr_emp,270,0.054
cycle_to_employer,0.004367484287612292,0.004348963815580286,1.004258594188725,0.31525398589729503,-0.004156328160992964,0.012891296736217549,,Advanced Manufacturing,cagr_emp,270,0.054
apprenticeship_achievements,-3.968471025469686e-05,1.7019394380836332e-05,-2.331734570965783,0.01971465894496137,-7.304211027981945e-05,-6.3273102295742774e-06,**,Advanced Manufacturing,cagr_bus,281,0.22
reception_obesity,0.00015435748182482782,0.0020302141255811547,0.07603014868229357,0.9393951124299446,-0.003824789085218714,0.00413350404886837,,Advanced Manufacturing,cagr_bus,281,0.22
year_6_obesity,0.0014285104760662602,0.0008353565618967817,1.7100607587527035,0.08725463822847304,-0.0002087582995006364,0.003065779251633157,*,Advanced Manufacturing,cagr_bus,281,0.22
happiness,-0.027285072866211603,0.009886000782543558,-2.7599707370437265,0.005780653920177352,-0.04666127835113176,-0.00790886738129144,***,Advanced Manufacturing,cagr_bus,281,0.22
related_variety,0.053113068887803476,0.00913548923522443,5.813927149408836,6.102397980348824e-09,0.035207839005610225,0.07101829876999673,***,Advanced Manufacturing,cagr_bus,281,0.22
size_large_share,0.12474540957417068,0.07833471880846213,1.5924664244878228,0.11127994146384255,-0.02878781802948746,0.27827863717782886,,Advanced Manufacturing,cagr_bus,281,0.22
size_micro_share,0.0034171441078899535,0.019099760942869942,0.17891030773165748,0.858008128977436,-0.03401769945345992,0.04085198766923982,,Advanced Manufacturing,cagr_bus,281,0.22
new_enterprises,-0.00012518039865244086,5.2286763496187334e-05,-2.394112587625907,0.0166606337385579,-0.00022766057197313164,-2.270022533175008e-05,**,Creative Industries,lq_emp,239,0.729
high_growth_enterprises,0.004707398994544535,0.001934974951270942,2.432795831001633,0.014982746618464018,0.000914917779066343,0.008499880210022726,**,Creative Industries,lq_emp,239,0.729
broadband_availability,0.0018712049518208845,0.0013986111758403624,1.3379021876445123,0.18092832393556868,-0.0008700225812014425,0.004612432484843211,,Creative Industries,lq_emp,239,0.729
4g_area_coverage,0.017582705764840625,0.012987137211817368,1.3538553938462756,0.17578251689304158,-0.007871615432601353,0.04303702696228261,,Creative Industries,lq_emp,239,0.729
gcse_by_age_19,0.009182617577660639,0.005370819449543595,1.7097237514549042,0.08731696851699397,-0.0013439951109120458,0.01970923026623332,*,Creative Industries,lq_emp,239,0.729
early_years_comms,0.004311812320845168,0.013928682656723621,0.30956354072463416,0.756892885438853,-0.022987904038420805,0.03161152868011114,,Creative Industries,lq_emp,239,0.729
early_years_literacy,0.0068135519357350755,0.015822497676171644,0.4306242968198469,0.6667415716819851,-0.02419797365503005,0.037825077526500196,,Creative Industries,lq_emp,239,0.729
early_years_maths,0.010459712879621835,0.019512727440409668,0.5360456610468718,0.5919269934945711,-0.027784530143727545,0.04870395590297122,,Creative Industries,lq_emp,239,0.729
apprenticeship_starts,-0.0003347044563614701,0.00021668981184508953,-1.544624795746044,0.12243704495945748,-0.0007594086833946064,8.999977067166614e-05,,Creative Industries,lq_emp,239,0.729
apprenticeship_achievements,-8.862642276644302e-05,0.00043006327353491033,-0.20607763606033375,0.8367302676713879,-0.000931534949968265,0.000754282104435379,,Creative Industries,lq_emp,239,0.729
level_3+_qualifications,0.0051539961937291595,0.0034421963106046694,1.4972987385556138,0.13431554297443696,-0.0015925846027726419,0.011900576990230961,,Creative Industries,lq_emp,239,0.729
smokers,0.010767980967155599,0.005881954282963688,1.8306808331278004,0.06714819554595292,-0.0007604375861643489,0.022296399520475546,*,Creative Industries,lq_emp,239,0.729
year_6_obesity,-0.01499338601838016,0.009712190281403361,-1.5437697969209982,0.12264411066049996,-0.03402892918093068,0.004042157144170361,,Creative Industries,lq_emp,239,0.729
adult_obesity,-0.008332505228592475,0.00489354945729617,-1.702752838467567,0.0886143320606362,-0.017923685921458495,0.0012586754642735457,*,Creative Industries,lq_emp,239,0.729
cancer_diagnosis,0.0006806674413932594,0.006596795863380958,0.10318152258912057,0.9178189044689852,-0.012248814864196229,0.013610149746982748,,Creative Industries,lq_emp,239,0.729
under_75_mortality_rate,-0.004643194201605861,0.004937905755250925,-0.9403164887601043,0.34705524426172685,-0.01432131164095073,0.005034923237739008,,Creative Industries,lq_emp,239,0.729
worthwhile,-0.20343682741188493,0.11354098071435992,-1.7917480202472442,0.07317333860314508,-0.4259730603813872,0.019099405557617355,*,Creative Industries,lq_emp,239,0.729
related_variety,-0.21751225803848093,0.13049103197265116,-1.666875146516337,0.09553923379331168,-0.4732699810103419,0.03824546493338002,*,Creative Industries,lq_emp,239,0.729
size_large_share,162.75286413745192,24.285955969316127,6.70152183192132,2.062600322132906e-11,115.15326510746678,210.35246316743707,***,Creative Industries,lq_emp,239,0.729
size_micro_share,-1.5760505115229004,0.706917192183328,-2.2294697723438253,0.025782664364004722,-2.9615827482544033,-0.1905182747913976,**,Creative Industries,lq_emp,239,0.729
cycle_to_employer,-0.03441593263634024,0.011043913697135286,-3.116280476301394,0.0018314798549772273,-0.05606160573109399,-0.012770259541586487,***,Creative Industries,lq_emp,239,0.729
new_enterprises,-0.000236221742475112,9.62786225110257e-05,-2.4535222494283215,0.014146478768759588,-0.00042492437507784967,-4.751910987237432e-05,**,Creative Industries,lq_bus,239,0.799
deaths_of_enterprises,-0.0001478384999401798,9.982699737998584e-05,-1.4809470766454176,0.13862067683590448,-0.0003434958194897264,4.7818819609366794e-05,,Creative Industries,lq_bus,239,0.799
active_enterprises,5.326029838250554e-05,1.740451671798622e-05,3.0601423323329136,0.002212318269845472,1.9148072446927282e-05,8.73725243180838e-05,***,Creative Industries,lq_bus,239,0.799
high_growth_enterprises,0.0028711359487393006,0.002253529902918161,1.274061615522112,0.20264158049404624,-0.0015457014990643398,0.0072879733965429405,,Creative Industries,lq_bus,239,0.799
broadband_availability,0.0005390824708201553,0.0011541338890326534,0.4670883299960905,0.6404366831920999,-0.0017229783850209925,0.002801143326661303,,Creative Industries,lq_bus,239,0.799
4g_area_coverage,0.020518927037556593,0.010191724512390109,2.013292942976596,0.04408382034138126,0.0005435140529179358,0.04049434002219525,**,Creative Industries,lq_bus,239,0.799
