sector,outcome,best_cv_r2_short,best_cv_r2_full,rf_cv_r2,rf_cv_rmse,best_overall
Advanced Manufacturing,lq_emp,0.011,0.154,,,
Advanced Manufacturing,lq_bus,0.351,0.388,,,
Advanced Manufacturing,growth_emp,-0.044,-0.04,,,
Advanced Manufacturing,growth_bus,-0.13,0.056,,,
Advanced Manufacturing,cagr_emp,-0.028,-0.023,,,
Advanced Manufacturing,cagr_bus,-0.053,0.081,,,
Creative Industries,lq_emp,0.282,0.579,,,
Creative Industries,lq_bus,0.611,0.653,,,
Creative Industries,growth_emp,-0.101,-0.057,,,
Creative Industries,growth_bus,0.011,0.037,,,
Creative Industries,cagr_emp,-0.097,-0.051,,,
Creative Industries,cagr_bus,0.024,0.041,,,
Digital and Technologies,lq_emp,0.286,0.593,,,
Digital and Technologies,lq_bus,0.495,0.587,,,
Digital and Technologies,growth_emp,-0.026,0.013,,,
Digital and Technologies,growth_bus,-0.057,0.086,,,
Digital and Technologies,cagr_emp,0.004,0.017,,,
Digital and Technologies,cagr_bus,-0.017,0.095,,,
Financial Services,lq_emp,0.017,0.22,,,
Financial Services,lq_bus,0.234,0.164,,,
Financial Services,growth_emp,-0.017,-0.026,,,
Financial Services,growth_bus,-0.05,-0.006,,,
Financial Services,cagr_emp,-0.031,-0.018,,,
Financial Services,cagr_bus,-0.031,0.008,,,
Life Sciences,lq_emp,0.03,-0.112,,,
Life Sciences,lq_bus,0.233,0.036,,,
Life Sciences,growth_emp,-0.383,-0.099,,,
Life Sciences,growth_bus,0.24,0.113,,,
Life Sciences,cagr_emp,-0.038,-0.038,,,
Life Sciences,cagr_bus,0.137,0.194,,,
Professional and Business Services,lq_emp,0.345,0.46,,,
Professional and Business Services,lq_bus,0.712,0.76,,,
Professional and Business Services,growth_emp,-0.038,-0.035,,,
Professional and Business Services,growth_bus,0.019,0.047,,,
Professional and Business Services,cagr_emp,-0.029,-0.021,,,
Professional and Business Services,cagr_bus,0.007,0.011,,,
